{'短评内容': '房间比较袖珍，单人床非常窄，带孩子不方便住', '短评打分': 5}
{'短评内容': '早餐不错。', '短评打分': 5}
{'短评内容': '这样订单害死消费者，不小心被默认时间，无法处理，让消费者损失', '短评打分': 1}
{'短评内容': '酒店在景区里面，房间是临海小木屋，没有想象中破旧的感觉，睡得很舒服，很安逸，如果要去大小洞天玩的朋友是个不二选择', '短评打分': 5}
{'短评内容': '早餐一般，部分房间可以加床，适合带孩子，入住免门票，比较划算，景区有免费停车场', '短评打分': 5}
{'短评内容': '早餐只是一般化，加床可能有点困难，毕竟房间只有那么大。环境挺不错，有停车场、要乘坐电车到酒店。', '短评打分': 5}
{'短评内容': '酒店不错，在景区内，夕阳很美，晚上的烧烤很棒！', '短评打分': 5}
{'短评内容': '风景好！一晚一早整个景区都是你的！白天拍婚纱的太多了！', '短评打分': 5}
{'短评内容': '离近。                                                ', '短评打分': 5}
{'短评内容': '只想说不推荐大家入住，酒店服务态度一般，订的临海小木屋，竟然连水也不送，问服务员，尽然说你这个房型就不送水，在携程上订写的是有的！那瓶水不值钱，我自己买也可以，但我真没见过送水还分房型的！真是抠的可以！我也是醉了！同样是景区酒店，比起鸟巢差远了！再说晚上的自助餐，因为景区可选餐厅不多，只有中餐和自助餐选择，就选了自助！我也是醉了，七点开始，我不到七点半进的，就两个凉菜，两个主食，绿豆汤，加十种左右', '短评打分': 2}
{'短评内容': '风景特别好，可爱的小木屋太喜欢了，出门就是海好美！', '短评打分': 5}
{'短评内容': '住在景区里面是这次旅游的收获。虽然贵点，但早晚游人稀少，照相太棒了。设施还不错，卫生间很大，大床房屋子有点小。唯一的一个缺点是隔音效果不好，外面有点声音就很清楚。但晚上很清净，到没什么，早上就不行了。', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '在大小洞天拍的婚纱照，景太美了，酒店一个一个独栋小房子浪漫极了', '短评打分': 5}
{'短评内容': '环境太好了 房间性价比很高 私密性极强 房间有些老了 再就是白天时候拍婚纱照的太多太多有干扰。', '短评打分': 4}
{'短评内容': '自然植物环境很好，房间环境差，卫生很差，空调漏水，地面很旧，早餐很差，晚餐也不好。', '短评打分': 3}
{'短评内容': '房间虽然有点小，但是房子感觉很好，出门看见大海', '短评打分': 5}
{'短评内容': '优点：确实是原生态。缺点：除了原生态，别的真是一无是处。首先，员工服务态度极差，付出的价格和得到服务真是一个天上一个地下。再次，木屋味道很重，卫生间露天设计并不好，毕竟在野外，毒虫很多。最后，伙食很差，很难吃。总之，价格虚高，不值这个价！', '短评打分': 1}
{'短评内容': '环境很好，很原生态，很幽静，不被打扰，是休闲地好去处，缺点嘛，从机场过去不太方便，还有就是餐厅地东山羊一次没吃到！\n如果是休闲地话是好地方！', '短评打分': 5}
{'短评内容': '环境好，房间一般', '短评打分': 3}
{'短评内容': '环境超级棒，房间小了点。沙滩不能游泳有点遗憾', '短评打分': 5}
{'短评内容': '首先地理位置很不好，即使是纯度假不旅游不玩也不好 因为不能下海。其次，服务真的很差，是三亚所有酒店里最差的！6点半去点餐，当时我和我老公是第一个去的，等了1个半小时才上来，而且还有个菜式是等我们吃一半才说没有，期间其他比我门晚来的桌子都上菜了，让我们更不爽的是 服务员居然一副你爱吃不吃，不吃拉到，反正没有其他地方能买吃的嘴脸。很不友善。跟她说的每多说一句都感觉是在自虐！真的是差到家了。居然还说什么', '短评打分': 1}
{'短评内容': '酒店不错, 上山下海都很方便. 只是晚上开车去的时路上觉得阴森森的.', '短评打分': 5}
{'短评内容': '优点：小木屋的风景很好，每晚伴着海浪入睡。；员工的服务态度还不错。川菜特色也和心意。\n\n缺点：交通较远，夜间海滩烧烤少蔬菜。木屋内有味道，但不是木材清香\n\n', '短评打分': 5}
{'短评内容': '双人床房间比大床间略大一点，很不错的环境！\n到前台了解了一下，网上定的价格比前台的优惠价大概低100的样子，而且还送了当日午餐（份量足足味道不错！）丰盛的果盘，加上免去的门票一人135，很值了。\n送的免费自行车要在下午大概5-7点使用，其他时间不能骑车；可以免费参加的篝火晚会要有团的时候才有；大屏幕电影本来是可以随便观赏的。', '短评打分': 5}
{'短评内容': '很棒很值网上订很实惠!!!', '短评打分': 3}
{'短评内容': '不错的选择，餐厅也不错，就是不能开车进酒店有点麻烦，去的朋友要提前打好包，呵呵', '短评打分': 5}
{'短评内容': '很美.很休闲.环保工作做得很好', '短评打分': 3}
