{'短评内容': '早餐丰盛，近商业区', '短评打分': 5}
{'短评内容': '早餐种类繁多，近高速出口，停车方便', '短评打分': 5}
{'短评内容': '环境挺好的，早餐丰富', '短评打分': 5}
{'短评内容': '还可以吧！', '短评打分': 5}
{'短评内容': '摸摸哒啦啦啦啦亲爱的老婆我爱你么么哒么么哒', '短评打分': 5}
{'短评内容': '地段好，装修还行，这个价位整体感觉可以！', '短评打分': 4}
{'短评内容': '房间超好，价格便宜，停车方便。', '短评打分': 5}
{'短评内容': '经济实惠，物美价廉。', '短评打分': 5}
{'短评内容': '不错哟，房间挺适合', '短评打分': 5}
{'短评内容': '很不错哦。非常划算。', '短评打分': 5}
{'短评内容': '宾馆不错，京东棒棒的，以后来京东订房。', '短评打分': 5}
{'短评内容': '一般般吧，装修的时间不短了，略显陈旧', '短评打分': 5}
{'短评内容': '干净卫生，环境不错。', '短评打分': 5}
{'短评内容': '干净卫生，环境不错。', '短评打分': 5}
{'短评内容': '还不错，房间很大，价格实惠，非常满意。', '短评打分': 5}
{'短评内容': '房间很干净，早餐还可以。', '短评打分': 5}
{'短评内容': '大床房的大床有点儿小，空间正好。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '在艺龙上定，比去酒店定贵了十元钱。', '短评打分': 3}
{'短评内容': '离高速很近，房间干净卫生还不贵。在酒店吃饭也很棒。早餐还算丰盛。', '短评打分': 3}
{'短评内容': '还行，艺龙价格比店面还贵10元', '短评打分': 3}
{'短评内容': '环境不错，服务态度差，卫生间漏水', '短评打分': 3}
{'短评内容': '酒店设施还不错，早餐也挺好。就是工作人员衔接方面不是很顺畅，耽误了一点时间。', '短评打分': 5}
{'短评内容': '离高速口不远！还算方便吧！也比较干净！服务还行！', '短评打分': 5}
{'短评内容': '酒店的环境不错，交通也便利。就是酒店的卫生间比较臭，味道很难闻。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，上高速方便。房间卫生也很好，沐浴水很冲。', '短评打分': 5}
{'短评内容': '入住几天了，早餐简单了点，服务还成，也比较安静', '短评打分': 5}
{'短评内容': '简洁， 安静， 交通便捷， 早餐营养。。。', '短评打分': 5}
{'短评内容': '挺好，我每次都住那。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置好，                        干净、                卫生，          很好', '短评打分': 5}
{'短评内容': '一如既往。。。。。。。。。。。好评。。。。。。。。。。。\n\n就是价格小贵', '短评打分': 5}
{'短评内容': '第二次入住这个酒店了，感觉非常气派，房间挺舒服的，总体还不错', '短评打分': 5}
{'短评内容': '第二次入住，感觉九楼房间比六楼好点', '短评打分': 3}
{'短评内容': '性价比还可以', '短评打分': 3}
{'短评内容': '一如既往的好。。。。。。。。。。。。。。。。。就是价格不好，涨了，呵呵', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 3}
{'短评内容': '干净卫生，已多次入住。最近价格涨了20元，稍贵了些。', '短评打分': 5}
{'短评内容': '酒店干净卫生，价格合理，早餐非常丰富，住宿条件非常好，交通方便\n', '短评打分': 5}
{'短评内容': '我本来对这次入住是很满意的，但是结账的时候发生了不愉快。查房的服务员说我房间消费了一大瓶矿泉水和2个雪碧，我说我只喝了一个雪碧，他就改口说消费了矿泉水和一个雪碧，但是我入住时房间里根本就没有大瓶矿泉水，当然不可能为这个东西买单。前台在请示总经理后还是让步了。到目前为止还是满意的，但是最后，前台说这瓶水是“免了”。舒适的床铺，美味的饮食，舒服的淋浴全都抵不住这一句话的威力，言下之意这瓶水是我拿的，现', '短评打分': 1}
{'短评内容': '交通方便，环境可以，旁边休闲娱乐场所较多，可一般超市购物', '短评打分': 5}
{'短评内容': '相当好的酒店，很气派，而且吃的也不错，性价比很高', '短评打分': 5}
{'短评内容': '挺不错的，价格好像比以前贵了点。下次来继续住。', '短评打分': 5}
{'短评内容': '酒店位置相当不错，下了高速很好找。环境卫生都很好，特别是淋浴水特别冲，洗的特舒服，早点也很丰富。', '短评打分': 5}
{'短评内容': '首先，进入房间看见上位住客留下的一双用过的拖鞋（很显眼的位置），很是担心房间是否打扫过。。至少地肯定没用吸尘器吸过。还没入住心里就很不舒服了。三星的酒店至少打扫方面应该比这家认真。\n其次，酒店后面有个大烟囱。24小时吐着白烟（估计是发电厂之类的），住户健康很难保证。', '短评打分': 1}
{'短评内容': '非常不错的酒店，四星，干净卫生，高速路口。', '短评打分': 5}
{'短评内容': '酒店很不错，设备齐全，房间也很大，位置也好找，总之很满意，以后还会选择这家酒店！', '短评打分': 3}
{'短评内容': '酒店干净卫生，价格合理，早餐非常丰富，住宿条件非常好。', '短评打分': 5}
{'短评内容': '服务还行，周边环境不便利，价格偏高，房间整体环境还行，吃的不错', '短评打分': 1}
{'短评内容': '朔州这个地方很一般，酒店硬件尚可，服务很差，服务员明显没有受过正规训练，说话很生猛。一定要住在阴面，阳面太吵了。酒店的入住客人素质也不好，晚上一两点了大声喧哗，堪比韩国人了。给总机说请她们提示，总机说她们不好说。塞外明珠，果不其然。', '短评打分': 5}
{'短评内容': '这个酒店不错，下次还会去住。硬件不错，房间设施不错，住的还舒服。餐饮的味道也不错。不过前台的服务态度和质量有待提高，好像没有经过严格的正规培训。', '短评打分': 5}
{'短评内容': '感觉这个酒店是挺不错的。交通方便，到汽车站很近。环境也还可以。交通也方便。在朔州来说是个好酒店。下次如果可能，还会去住的。', '短评打分': 5}
