{'短评内容': '很一般的酒店。', '短评打分': 3}
{'短评内容': '还行吧，习惯了好评！', '短评打分': 5}
{'短评内容': '差评，我们预定住2晚，结果在第2晚我们开房卡进去里面竟然住了一个人，我们都没退房卡也没退押金的。下来找前台给我们的解释是以为我们退房了，真的是差评', '短评打分': 2}
{'短评内容': 'OK', '短评打分': 5}
{'短评内容': '门锁坏的关不了门', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '酒店性价比算高了，就是马桶看起来有点脏，自己用水刷了一下，发现是旧不是脏，就是设备有点旧，不过算便宜了。', '短评打分': 3}
{'短评内容': '比较一般', '短评打分': 4}
{'短评内容': '蚊子ㄧ堆 玻璃沒隔音效果 馬路上車子聲声音很大吵', '短评打分': 3}
{'短评内容': '不是很到位', '短评打分': 3}
{'短评内容': '打扫人员态度差。退房时间说的都不一样', '短评打分': 3}
{'短评内容': '订的圆床房间大但设备老旧。明明写的2点的退房，12点多打扫阿姨就在走廊上催赶退房！', '短评打分': 3}
{'短评内容': '环境还可以，晚上比较吵～～没人管', '短评打分': 5}
{'短评内容': '环境还可以，就是晚上有点吵闹～～人员比较复杂', '短评打分': 5}
{'短评内容': '位置服务很好，设备有点旧。渗水不太好。', '短评打分': 4}
{'短评内容': '很干净，连矿泉水都有免费提供，交通便利。\n但装修很空，觉得不太值。', '短评打分': 1}
{'短评内容': '很干净卫生，服务也很热情，是这次去厦门住的四家酒店中比较满意的一个。就在小西门附近的路口，司机都知道，很好找，下次去厦门还会选择这家宾馆', '短评打分': 5}
