{'短评内容': '出差好选择', '短评打分': 5}
{'短评内容': '早餐很简单，典型的北方风格。房间都是地暖和空调，很舒服。唯一就是卫生间下水道有返出来的气味比较难闻，只好经常开开窗透气。服务员态度非常好，交通极为便利。', '短评打分': 5}
{'短评内容': '酒店不错，环境卫生服务都很好', '短评打分': 5}
{'短评内容': '酒店不错，环境卫生服务都很好', '短评打分': 5}
{'短评内容': '朋友说睡得很好', '短评打分': 5}
{'短评内容': '此酒店位置不错，交通比较方便。从飞机场到这个酒店，也比较快捿，走机场高速及高架路。周边吃饭的地方挺多的，房间的隔音效果也不错，我喜欢朝阳的房间，冬天太阳一晒，好热乎。', '短评打分': 4}
{'短评内容': '此酒店位置不错，交通比较方便。从飞机场到这个酒店，也比较快捿，走机场高速及高架路。周边吃饭的地方挺多的，房间的隔音效果也不错，我喜欢朝阳的房间，冬天太阳一晒，好热乎。', '短评打分': 4}
{'短评内容': '此酒店位置不错，交通比较方便。从飞机场到这个酒店，也比较快捿，走机场高速及高架路。周边吃饭的地方挺多的，房间的隔音效果也不错，我喜欢朝阳的房间，冬天太阳一晒，好热乎。', '短评打分': 4}
{'短评内容': '此酒店位置不错，交通比较方便。从飞机场到这个酒店，也比较快捿，走机场高速及高架路。周边吃饭的地方挺多的，房间的隔音效果也不错，我喜欢朝阳的房间，冬天太阳一晒，好热乎。', '短评打分': 4}
{'短评内容': '此酒店位置不错，交通比较方便。从飞机场到这个酒店，也比较快捿，走机场高速及高架路。周边吃饭的地方挺多的，房间的隔音效果也不错，我喜欢朝阳的房间，冬天太阳一晒，好热乎。', '短评打分': 4}
{'短评内容': '电视机陈旧', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '不错的酒店，适合商务住，周边逛逛也挺方便', '短评打分': 4}
{'短评内容': '不错的酒店，适合商务住，周边逛逛也挺方便', '短评打分': 4}
{'短评内容': '前台服务太差了', '短评打分': 1}
