{'短评内容': '不怎么样啊', '短评打分': 3}
{'短评内容': '脏乱差，简直无法忍受。只住一晚赶紧离开了。这么差的酒店居然还能存在真是奇怪。', '短评打分': 1}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '服务太一般了，卫生不太好，最恶心的就是有两袋已经过期的茶叶摆在那里，简直让我受不了了。', '短评打分': 3}
{'短评内容': '房间很一般，很破旧谈不上任何舒适感！出门在外忍吧。第二天在边上的嘉利酒店加了两块钱办理了入住，房间档次提升不少。不推荐此酒店！', '短评打分': 4}
{'短评内容': '朋友回来对酒店卫生评价很差，而且服务态度极为恶劣！', '短评打分': 2}
{'短评内容': '还不错，挺好的宾馆，刚装修过', '短评打分': 3}
{'短评内容': '酒店位置不错，去哪儿都方便；早餐特别的是包子稀饭馒头随便吃，不过是外面买回来的；房间有点陈旧，看到了蟑螂，呵呵', '短评打分': 5}
{'短评内容': '很一般的酒店，位置还算方便，在文殊坊金丝街，成都邮币卡市场对面。', '短评打分': 5}
{'短评内容': '  环境位置挺好服务也不错', '短评打分': 3}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '性价比高，位置好，住得舒服，交通方便，离地铁五分钟，还有网络，热水充足，虽然面积小了些，但一应俱全，很满意，只是室内装修已久，设施硬件可进一步提高。', '短评打分': 5}
{'短评内容': '周边环境挺好，出行也方便，对面的豆花庄不错', '短评打分': 5}
{'短评内容': '条件只能说一般般 卫生条件有待于进步 不能上网  有些不方便', '短评打分': 1}
{'短评内容': '服务态度一般般，房间也一般床狠硬…', '短评打分': 3}
{'短评内容': '床单未更换，隔音效果不好~ 比较旧，不是很干净，但是地理位置还可以，旁边就是文殊院，离北站比较近，', '短评打分': 1}
{'短评内容': '这次是开会过来的，酒店服务态度很好，前台很有耐心，尤其是地理位置，交通很方便。', '短评打分': 5}
{'短评内容': '帮朋友定的房间，回来说，环境不错，到哪都挺方便，卫生也挺好的，等有时间去成都玩的时候，住下看看  ：）', '短评打分': 5}
{'短评内容': '总体还可以！收费比较实惠，推荐入住！出门必住', '短评打分': 5}
