{'短评内容': '嗯不错 干净卫生 地理位置特别好 旁边都是好吃的店铺 什么都有 早上还能吃到小杨生煎包 特别棒 下次来还会选择这里', '短评打分': 5}
{'短评内容': '第二次入住这里，不过这次住的五楼的房间，比上次的房型大上很多，依旧是上次那位保安大叔，依旧是上次的那位前台接待，感觉还是依旧的好', '短评打分': 5}
{'短评内容': '每次来上海都在那住，交通便利。', '短评打分': 5}
{'短评内容': '干净，性价比高！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错，方便', '短评打分': 5}
{'短评内容': '还好吧 价钱可以', '短评打分': 3}
{'短评内容': '舒适，关键还有三人间，这边好多酒店都没有', '短评打分': 5}
{'短评内容': '就在南京路步行街边上一点点，住宿环境也不错，楼下很多可以吃早饭的，离2号线地铁走路只要10分钟，晚上去外滩，东方明珠都挺方便的。', '短评打分': 5}
{'短评内容': '挺干净的', '短评打分': 5}
{'短评内容': '比较满意', '短评打分': 5}
{'短评内容': '厕所地板有洗不掉的脏东西，灯光也暗，不过房间很大，该有的东西都有，在那个位置来说性价比很高', '短评打分': 4}
{'短评内容': '还不错，值得推荐，地理位置优越，交通方便。下次来上海还住上海新光迎宾馆，赞！2015，12，10', '短评打分': 5}
{'短评内容': '酒店地理位置便捷，出行较方便，就是有点老，总之还不错', '短评打分': 4}
{'短评内容': '设施一般，卫生一般，周围环境一般，就是老上海的弄堂，周围交通和吃的方便，味道也不错，价格平民，房间确实相对连锁酒店要大，像招待所，总得来说评分3星，住周边的如家，七天，那还是选择这里吧，离南京路步行街也近', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
