{'短评内容': '很好，不错', '短评打分': 5}
{'短评内容': '信赖京东，环境不错，价格很实惠，也很干净，虽然小点，但是够住的了', '短评打分': 5}
{'短评内容': '有停车场，服务好', '短评打分': 5}
{'短评内容': '银座佳驿连锁酒店感觉都不错。价位适合普通家庭旅游', '短评打分': 5}
{'短评内容': '房间没有梳子，问前台没反应，结账冷漠的态度，和上次住有很大的反差，这是什么服务水平，像欠她钱一样，下次不会再来了。', '短评打分': 4}
{'短评内容': '在市区 临近火车站  很方便', '短评打分': 5}
{'短评内容': '不好，前台服务太差劲了，下次都不住这个酒店了，服务员素质太差', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '来过好几次了，每次都是感觉挺满意的', '短评打分': 5}
{'短评内容': '很好的，价格很合适的，以后会常来的', '短评打分': 5}
{'短评内容': '隔音有点差', '短评打分': 4}
{'短评内容': '干净，就是离火车站远了点，找了很久', '短评打分': 5}
{'短评内容': '不错的，支持', '短评打分': 5}
{'短评内容': '朋友住的，说是挺不错的', '短评打分': 5}
{'短评内容': '很好的，不错的', '短评打分': 5}
{'短评内容': '早餐不错', '短评打分': 3}
