{'descr': '还不错，去北京就定这', 'star': 5}
{'descr': '好好好好好好好好好好', 'star': 5}
{'descr': '好好好好好好好好好好', 'star': 5}
{'descr': '好好好好好好好好好好', 'star': 5}
{'descr': '好好好好好好好好好', 'star': 5}
{'descr': '迅速确认房间，及时发送短信提醒通知，服务周到快捷。', 'star': 5}
{'descr': '挺不错的酒店，就在老国展附近，参展非常方便', 'star': 5}
{'descr': '顶\n我顶\n必须顶\n不得不顶\n用尽全力顶\n再加上千斤顶\n总之把它顶到顶\n接着使出葵花宝顶\n就算顶到史前也要顶\n老子看了会用道德经顶\n孔子亲自拜你为师天天顶', 'star': 5}
{'descr': '好好好好好好好好好好好好好好好好', 'star': 5}
{'descr': '还是不错的', 'star': 5}
{'descr': '一般般', 'star': 5}
{'descr': '商务酒店的典型，各项条件都不错，就是没早餐啊', 'star': 4}
{'descr': '干石斛的', 'star': 5}
{'descr': '还不错，离国展很近，离地铁站也很近，周边吃饭的地方也很多，', 'star': 5}
{'descr': '暖气足，暖和', 'star': 5}
{'descr': '就在单位旁边，加班太迟住下了，凑合吧，标准的快捷酒店', 'star': 5}
{'descr': '服务挺好的，环境也好，出行方便，用餐也方便', 'star': 5}
{'descr': '不错不错不错不错不错', 'star': 5}
{'descr': '位置非常方便，服务卫生方面也看得出很努力 - 有一天挂了免打扰牌子外出回来发现房间还是被整齐地打扫过了，呵呵，反正是因为不需要换毛巾才挂的牌子，所以也就当成是好的意外吧。酒店设施很旧了，如果想享受就不要定了。但是从性价比来说，综合起来个人认为还不错。', 'star': 4}
{'descr': '挺好', 'star': 5}
{'descr': '挺好挺好', 'star': 5}
{'descr': '酒店环境僻静，适合旅途休息，交通方便，服务态度很好。', 'star': 5}
{'descr': '服务很好，环境也不错，只是房间小了点，上网很方便，热水也供应充足。交通很便利', 'star': 5}
{'descr': '酒店卫生条件很好，很安静。非常适合外出居住', 'star': 5}
{'descr': '位置方便', 'star': 3}
{'descr': '离地铁13线很近，附近小餐馆比较多', 'star': 3}
{'descr': '房间气味较重，空调小，住的很热。和价格相差较大。', 'star': 1}
{'descr': '房间气味较重，空调小，住的很热。和价格相差较大。', 'star': 1}
{'descr': '还不错！挺干净的！总体满意', 'star': 3}
{'descr': '酒店位置距离公务地方很方便，但30多度的北京没有空调，房间如蒸笼，但酒店没办法，市政不供冷气。换了一个带空调的房间，空调似乎不工作，忍吧。', 'star': 1}
{'descr': '性价比很高的酒店，网速很快，服务也很好，房间干净，采光好。', 'star': 5}
{'descr': '因为靠近办事的地方，所以选择速8，也是第一次住速8酒店。地段可以，设施不是新的，电梯的位置不合适，电梯门口的斜坡如同虚设，没办法合理使用。房间的宽带还非得要工作人员来处理，落后麻烦。唯一感到欣慰的是床头有插座。', 'star': 5}
{'descr': '环境很好 很温馨', 'star': 3}
{'descr': '交通方便，环境好，不好之处是酒店边上有点吵，选择内侧房间比较好，值得大家选择！', 'star': 5}
{'descr': '在老国展附近，对于参加展会的人士来说挺好的，交通方便，可以步行到国展！就在一条路上，国展出来右拐直行就到！', 'star': 5}
{'descr': '环境不错，干净，整齐，下次还会介绍朋友来。', 'star': 5}
{'descr': '房间太小，淋浴房更小，但是考虑到离老国展比较近，如果没有其他酒店选择的情况下，可以考虑~', 'star': 5}
{'descr': '暖气很好，房间不大，但还精致，服务不错，会向朋友推荐的', 'star': 5}
{'descr': '临时有事， 又住了一次， 还可以吧。 就是有时候， 订的价格和实际要收的价格不符， 记得拿手机上的短信和前台再核实一次', 'star': 5}
{'descr': '总体还可以吧，毕竟就这个价位。 地点还可以，起码没有乱七八糟的小广告', 'star': 5}
{'descr': '酒店还不错，地理环境好，周围各种购物地方可以满足自己需求', 'star': 5}
{'descr': '还可以吧， 第2次住了， 就是前台的工作人员效率不太高， 希望改进', 'star': 5}
{'descr': '很一般，房间很小，床比较硬，睡的不舒服。价格也不便宜。', 'star': 1}
{'descr': '还可以吧， 第二次住了， 硬件还凑合， 软件差了些', 'star': 5}
{'descr': '酒店位置不错，离地铁和国展中心都不远，性价比较高', 'star': 5}
