{'短评内容': '还行，一般吧，出差将就', '短评打分': 4}
{'短评内容': '环境不错，卫生干净', '短评打分': 5}
{'短评内容': '住的很舒服，下次还会再选择', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '八年后再次入住，才一百多，不错了，也没有很旧', '短评打分': 5}
{'短评内容': '酒店时间久了但设施不老，就是周围环境太嘈杂了，刚好在闹市区，前台和服务员态度都很好，晚上还有水果送，挺好。', '短评打分': 4}
{'短评内容': '性价比不错。', '短评打分': 4}
{'短评内容': '出差都住这里，挺干净的，被子特别舒服，', '短评打分': 4}
{'短评内容': '很好，很不错', '短评打分': 5}
{'短评内容': '好，还是不错的', '短评打分': 5}
{'短评内容': '位置好，干净卫生。大冷天的，中央空调不错。 美中不足是有点吵。旁边的大钟过一会儿响几声就不说了，临街的那一面真的有点吵。', '短评打分': 5}
{'短评内容': '总的来说还不错，', '短评打分': 5}
{'短评内容': '城中心。装修较新，但毛巾等稍显旧。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '位置好，干净卫生。大冷天的，中央空调不错。  美中不足是有点吵。旁边的大钟过一会儿响几声就不说了，临街的那一面真的有点吵。', '短评打分': 5}
{'短评内容': '工作人员效率不高啊，明明已经下单了她硬说没收到订单结果把客户的订单资料不知扔到那个地方去了。明明150她硬是要180。早上还在睡觉都遭隔壁做清洁的吵醒，总的来说下次肯定不会再住这了', '短评打分': 1}
{'短评内容': ' 一般', '短评打分': 3}
{'短评内容': '价格很便宜，环境很好，空调可以， 很干净，很安静，屋内灯光很好，就是隔音有点差，晚上会听见很多声音= =！早上的时候睡得正爽，听见隔壁打扫卫生的声音- -', '短评打分': 5}
{'短评内容': '很不错，干净卫生，环境很好，以后去的时候还住那里的 \n', '短评打分': 5}
{'短评内容': '已成功入住', '短评打分': 3}
