{'短评内容': '酒店地理位置优越，蛮安静的，价格也便宜。', '短评打分': 5}
{'短评内容': '还有虫子很多', '短评打分': 3}
{'短评内容': '是我住过最差的酒店，不过这个价也就这个级别，位置还可以，停车位极少，酒店隔音很差', '短评打分': 2}
{'短评内容': '酒店很容易找，但是设备不好，马路旁边，很吵', '短评打分': 2}
{'短评内容': '本来携程定的80一间，第二天续订的时候，讲没房间，我们这间又没退，非的交了108吧，好吧，这都忍了，房间有蟑螂，空调老掉牙，16度和别人30度没区别，特别那个带眼睛的收银员，态度太垃圾，本来是可以多住两天的，就她那态度。果断退房换一家，每年来温州那末多次，第一次遇到这样的，第一次给差评！建议大家不要住，特别那带眼睛的收银员，服务太差，垃圾一个', '短评打分': 2}
{'短评内容': '第一次住，价格有点贵，周围交通还方便', '短评打分': 5}
{'短评内容': '不错，还可以', '短评打分': 5}
{'短评内容': '早餐最好能稍微丰富一些', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '马马虎虎吧', '短评打分': 3}
{'短评内容': '还可以 服务还不错 就是有点旧', '短评打分': 4}
{'短评内容': '都比较OK。满好的。唯一缺点就是。卫生间排风不会工作。不知道是坏了呢。还是没链接电源。', '短评打分': 5}
{'短评内容': '不敢恭维，估计历史比较悠久，当时住的六楼靠边的房间，厕所是直接设置在阳台的，但是阳台的窗户是坏的，搞得一个晚上不敢睡，然后晚上走廊特别吵，可能也是自己运气不好那天遇上那么一群人。给朋友订的温州另一个锐思特就很好啊，所以感觉落差特别大，很失望。', '短评打分': 4}
{'短评内容': '位置有点难找，用汽车导航的话，锐思特汽车好多家，都不知道是哪一家，我猜了很久才找到的。不过这家店适合自驾游，有免费停车场，不过要考验一点司机的技术，很多客人停车，小心刮碰哦。门口旁边就是一个加油站，什么时候加油都可以，不用找。', '短评打分': 5}
{'短评内容': '总体来说还不错。不过无线太差了，只有手机能用还是慢的，IPad上根本就没有用。', '短评打分': 5}
{'短评内容': '干净整洁，出行方便，推荐入住', '短评打分': 3}
{'短评内容': '性价比还可以，交通便利，服务也不错,但环境不太好，因为顺生之星满房了才住这的！\n\n', '短评打分': 1}
{'短评内容': '太脏。空调噪音不能接受。早餐还可以。不推荐旅游住。', '短评打分': 1}
{'短评内容': '性价比还可以，交通便利，服务也不错，就是空调声音有点大！', '短评打分': 5}
{'短评内容': '各方面还算满意', '短评打分': 3}
{'短评内容': '房间内部比较整洁干净。外出个人用品比较齐全。地处闹市区，交通比较方便。特别是对面是温州市旅游集散中心，散客出团时一般是在旅游集散中心集合出发。', '短评打分': 5}
{'短评内容': '服务很差，条件也很一般，早餐八点下去就没东西吃了，原来他们没厨房，就是在外面批发点馒头咸菜。总之，几乎是我住过最差的连锁酒店了。', '短评打分': 1}
{'短评内容': '感觉不是很干净，会员卡也没有优惠，还不能刷卡', '短评打分': 1}
{'短评内容': '虽然价格比起一般的连锁酒店便宜，但也是我住过的连锁酒店里最差的，房间走进去很潮湿，床单和被单感觉潮潮的，总体感觉就是比一般的宾馆好一点。如果', '短评打分': 1}
{'短评内容': '房子有点旧，有点吵', '短评打分': 3}
{'短评内容': '交通方便，环境还可以。。。。。。。。。。', '短评打分': 5}
{'短评内容': '态度好，窗户有两层，隔音不错。但是厕所的石砖感觉有点脏墙壁脱落有点严重。', '短评打分': 5}
{'短评内容': '还行，就是太旧了', '短评打分': 3}
{'短评内容': '地板太烂', '短评打分': 3}
{'短评内容': '同样价格对面的要好的多，6楼的水龙头能把人急死，房间整洁度一般。', '短评打分': 1}
{'短评内容': '还可以，交通挺方便的。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '比较旧，不太干净，房间有股隔壁餐厅的食物气味，闻着有点难受', '短评打分': 1}
{'短评内容': '整体性价比比较高，交通也方便。\n几点意见吧：\n1.早餐种类要增多\n2.总台不要随便透露客人房间号\n3.房间里多几个衣架', '短评打分': 5}
{'短评内容': '环境还不错，交通方便，离市中心只有几分钟的车程。', '短评打分': 5}
{'短评内容': '环境还可以，交通也很方便，就是感觉有点旧！', '短评打分': 3}
{'短评内容': '有点脏 隔音差 位置好 有早餐，总体来说还是不错的', '短评打分': 5}
{'短评内容': '不能停车，早餐不错，服务一般，管理较差，位置还可以', '短评打分': 1}
{'短评内容': '酒店很不错。位置也好 值得住，而且还提供双早，味道不错', '短评打分': 3}
{'短评内容': '位置不错 价格也不错  还有早餐也不错. 值得推荐', '短评打分': 5}
{'短评内容': '替朋友预定，附近还算热闹，大家都还算满意', '短评打分': 5}
{'短评内容': '在住时被跳蚤咬了20 个包...一个星期以后才好。 \r\n卫生措施不到位 服务还不错', '短评打分': 1}
{'短评内容': '性价比蛮好的酒店，房间很干净，服务周到热情，还会住的', '短评打分': 5}
{'短评内容': '总体来说不是很满意', '短评打分': 1}
{'短评内容': '值得回味的是，酒店打扫卫生蹲下来把门的下部都擦的很认真', '短评打分': 5}
{'短评内容': '有点脏', '短评打分': 1}
{'短评内容': '服务上很不错，能做到随叫随到，态度也很热情。让人感觉很贴心。', '短评打分': 5}
{'短评内容': '房间大小整合式，打扫的很干净，设施也比较齐全，感觉住的挺舒适的。', '短评打分': 5}
{'短评内容': '有种家的感觉，住的很舒适，价格也不贵。值得推荐。', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '酒店在西站附近，离市中心不算远，交通还是挺便利的。', '短评打分': 5}
{'短评内容': '房间色彩很丰富，搭配的很协调，很干净，价格也比较合理，住的挺满意的。', '短评打分': 5}
