{'短评内容': '位置很好 房间很小 价格便宜', '短评打分': 4}
{'短评内容': '忘记带钥匙临时过夜，房间像迷宫，内部设施还可以，周边环境很方便骑个单车就可以直接到中山公园地铁站或者娄山关路地铁站。房间内部设施还行，房间没有窗户。内部设施基本全面，床有点硬，枕头有点潮，但是在上海市区这个位置和性价比还是过硬的。楼下不远有全家便利店，超市和兰州拉面。交通也很便利。', '短评打分': 4}
{'短评内容': '不错房间整洁', '短评打分': 4}
{'短评内容': '房间有点小，安静舒适', '短评打分': 5}
{'短评内容': '性价比高。。。。。。。。。', '短评打分': 5}
{'短评内容': '可以的，挺好的呀', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '可以啊，虽然没有窗户，但是很干净，床很大。洗澡的热水很好，水压不错。安静，', '短评打分': 5}
{'短评内容': '已经换牌了，毛巾什么都是新的', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '差', '短评打分': 1}
{'短评内容': '这个价位的旅店，其实也不能期望过高了。', '短评打分': 4}
{'短评内容': '朋友来上海转机，交通很方便，价位也好。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '住宿很满意，主要上网速度飞快。', '短评打分': 5}
