{'短评内容': '房间有蜘蛛，房间设施老旧，老板也不热情。下次绝对不去了', '短评打分': 2}
{'短评内容': '挺好的 老板人也很嗨', '短评打分': 5}
{'短评内容': '先看我发的摄像头，没插电脑端！设施成就，没有阳台所以别说江景！客栈老板从来不会主动和我们打招呼，更别说什么客气不客气！总之，要品质我不推荐，要低价我也不推荐，只有其他满房我才会推荐！不会再来了！', '短评打分': 3}
{'短评内容': '酒店设备太差啦，厕所坏的，插座坏的，电视遥控器坏的，装修太陈旧，就老板服务态度比较好，其它全都差评。', '短评打分': 2}
{'短评内容': '本客栈大门面卖这鼓，二个房间在四楼，木板搭建。卫生中评，价283元一晚，温暖差评，二人冷感冒。空调温气差', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '凤凰内部的客栈都是不提供洗漱的，这家也不例外，空调也是要另外付钱的。4月的话，晚上还是比较冷的，有必要租空调。我租的房间是可以看河的，有小阳台，位置不错，但是卫生条件不好，尤其是卫生间，有洁癖者另选吧', '短评打分': 4}
{'短评内容': ' 江景房里面应该不算贵。但是不算真正的江景对面还有一栋房子。其次，wifi从晚上到第二天退房都没网络，老板说重启，然后还是没网络。很不在乎入住质量。一楼卖非洲鼓。', '短评打分': 3}
{'短评内容': '客栈地段好，老板人也好，设施挺全的', '短评打分': 4}
{'短评内容': '一般，开始订的单人床，去了之后发现没有空调，然后我们有加了30元一晚的就有空调了，怕热我同志们要注意空调，空调空调', '短评打分': 4}
{'短评内容': '整体来说住话一般，老板人不错。宾馆系江边后面一排，房子在三楼，阳台能看到江，可拍摄的角度太小，想美美的拍夜景要放弃。设施和装修都很旧了', '短评打分': 3}
{'短评内容': '冷的要死，空调加钱不说，还不好！很简陋，说是江景房，但是视野不开阔。', '短评打分': 3}
{'短评内容': '酒店环境很好，地理位置也很好。看江景特别惬意。夜景也很美。晚上会有点吵，下面就是酒吧街。不过还是很满意。这次的凤凰之旅很开心。', '短评打分': 4}
{'短评内容': '酒店环境很好，地理位置也很好。在天台看江景特别惬意。夜景也很美。晚上会有点吵，下面就是酒吧街。不过还是很满意。就是天台的位置会被其他房间的霸占，那我订这个天台江景房就没意义了。这次的凤凰之旅很开心，很值。', '短评打分': 5}
{'短评内容': '小店地理位置不错，出行方便，硬件不太好，不过是江景房，老板人好，可以入住', '短评打分': 3}
{'短评内容': '不是沿街的吊脚楼在酒吧一条街上，豪华间临街很吵。服务还算到位尽力做了调配', '短评打分': 1}
{'短评内容': '客栈在沱江边上…凤凰传奇酒吧后面,离虹桥几分钟的路程…可以在客栈四楼的大阳台欣赏夜景…房间干净卫生.价格合理…老板靓女一个.人非常好…推荐入住…好评…', '短评打分': 5}
{'短评内容': '老板很热情 位置很好 窗外是沱江 风景很好 热水方便', '短评打分': 5}
{'短评内容': '老板人很好, 木板房在阁楼上,阁楼上有桌子椅子还有一秋千, 可以在上面喝咖啡,俯瞰沱江, 眺望边城小镇.下面是酒吧街, 很是热闹. 十二点后才会安静下来. ', '短评打分': 5}
{'短评内容': '蛮不错的，那边住宿便宜，吃饭便宜，总得来说算不错的。', '短评打分': 5}
{'短评内容': '房子不临江，但是可以看到江景。环境不错。晚上下面酒吧会比较吵，喜欢安静的朋友慎选。', '短评打分': 5}
{'短评内容': '客栈地理位置超好....就在沱江旁...到哪里都很方便!掌柜很热情...推介的路线很正点!!', '短评打分': 5}
{'短评内容': '阳台风景超正点的说!想起那天晚上...我们一群人在阳台把酒畅谈!!爽啊...听着酒吧街的music....饮着我们的beer...难忘至极!', '短评打分': 5}
{'短评内容': '掌柜超热情的说....真切感受到凤凰人的真诚...把我们照顾得无微不至啊!!哈哈哈...下次..咱们约定水云间了!!', '短评打分': 5}
