{'短评内容': '。。。。。', '短评打分': 5}
{'短评内容': '地方不是那么好找', '短评打分': 4}
{'短评内容': '如家一直都是我的首选酒店，很好', '短评打分': 4}
{'短评内容': '酒店环境不错，服务也还行。', '短评打分': 5}
{'短评内容': '价格优惠', '短评打分': 5}
{'短评内容': '宁波海曙很好的一家店，在孝闻街上，离姚江非常近。晚上出去很方便，吃夜宵啊逛逛、坐车什么的都是非常便利的。下次来还会选择这里的！', '短评打分': 4}
{'短评内容': '关了。。哎', '短评打分': 5}
{'短评内容': '靠近马路，好吵好吵。便宜没好货啊，不过有饮水机不错', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还行吧，靠马路会比较吵，总体还算干净，', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '很舒服。价格又优惠', '短评打分': 5}
{'短评内容': '环境好，出行方便，服务不错，下次再来！', '短评打分': 5}
{'短评内容': '价格便宜,床大.就是电视是老式父母辈的,没有停车位置', '短评打分': 4}
{'短评内容': '\n环境很好，服务到位，地理位置也不错。价格适中。有停车位\n', '短评打分': 5}
{'短评内容': '普通大床房比宁波其他如家稍大，整体感觉还不错。', '短评打分': 5}
{'短评内容': '先是前台开错房型 后更换 空调漏水 非常严重那种 后更换大床房 枕头 床上都是女人头发 折腾几个小时 完全没有住的欲望了 第一次 也是最后一次入住 失望透顶', '短评打分': 1}
{'短评内容': '房间蛮好的，卫生设施都不错，服务也好~停车也离的不远，很方便', '短评打分': 5}
{'短评内容': '房间蛮好的，卫生设施都不错，服务也好~停车也离的不远，很方便', '短评打分': 5}
{'短评内容': '房间可以，就是卫生不是很好，地上还有前一个客人留的烟盒的薄膜.....有点心理阴影...', '短评打分': 1}
{'短评内容': '房间很好，干净，服务不错，就是附近没有吃饭的地，需要走一段距离到鼓楼附近吃饭，中山公园不错，环境幽雅。', '短评打分': 5}
{'短评内容': '价格便宜，干净整洁，周边环境不错，服务态度较好，以后来还会来住', '短评打分': 5}
{'短评内容': '比门市价便宜多了！设备都齐全！总之还行！如果以后有机会还是会来的', '短评打分': 5}
{'短评内容': '终于回家了，此次入住如家是为了去培训考试，非常满意，和同事一起住的标准间，设施设备完善，安全性高，很安静，比附近那家锦江之星安静多了，特别适合我们这种去考试的，因为对睡眠质量要求很高，所以下次出行还是会选择如家，值得信赖', '短评打分': 5}
{'短评内容': '结帐的时候非说我少给了一张卡，分明是服务员同时服务多人弄混了，以后姐绝对不会再住如家！！！', '短评打分': 5}
{'短评内容': '很满意，快捷方便，实惠', '短评打分': 3}
{'短评内容': '干净...............！卫生.......！服务好！以后会再次选择\n', '短评打分': 5}
{'短评内容': '服务非常热心，安静舒适，交通便捷，值得尝试', '短评打分': 5}
{'短评内容': '酒店不错哦。酒店不错哦。酒店不错哦。酒店不错哦。酒店不错哦。酒店不错哦。酒店不错哦。酒店不错哦。酒店不错哦。酒店不错哦。酒店不错哦。酒店不错哦。', '短评打分': 5}
{'短评内容': '隔音较差，其他还好', '短评打分': 3}
{'短评内容': '其他房间不知道怎么样 不过大床房真心不怎么样 膈应效果不好。那个防火门一开就能清清楚楚的听得到。马路靠的很进很吵闹 晚上不容易睡觉、好歹就看看球赛把。o(︶︿︶)o 下次是没打算在住这边的如家了。不过服务态度很好。', '短评打分': 1}
{'短评内容': '还不错的~感觉挺好的~服务态度也很好哦~房间也大，很舒适', '短评打分': 5}
{'短评内容': '很温馨，服务态度也很好，交通也算方便，离鼓楼步行街很近，算市中心地带。', '短评打分': 5}
{'短评内容': '一如既往的好，方便，干净。一如既往的好，方便，干净。一如既往的好，方便，干净。', '短评打分': 5}
{'短评内容': '安静，干净。环境不错。就是坐公交车要走2站地到广场那边去倒。', '短评打分': 5}
{'短评内容': '过来宁波办事，这家如家就在办事地点边上，很方便。地段不错，离鼓楼，月湖和天一广场都不远，汽车南站过来也只要起步价。下次去宁波应该还是住这，推荐', '短评打分': 5}
{'短评内容': '价格合适！总体还可以！就是服务员服务一般！', '短评打分': 5}
{'短评内容': '卫生挺好，就是隔音不好，汽车的声音很大！', '短评打分': 3}
{'短评内容': '很不错这个价格很', '短评打分': 3}
{'短评内容': '还好吧，替朋友订的。看起来比较安静，在江边，环境不错。', '短评打分': 3}
{'短评内容': '位置有点儿偏，不过环境不错，在宁波市图书馆附近', '短评打分': 5}
