{'短评内容': '地理位置还不错，就是酒店太旧了，墙纸都脱了', '短评打分': 4}
{'短评内容': '红红火火恍恍惚惚哈哈', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '从市二宫地铁站出来去酒店也很快，很容易找得到，还有就是沿路有很多小吃的店，也可以尝尝。晚上睡觉比较安静，还不错。', '短评打分': 5}
{'短评内容': '停车场有限，房间设施有些旧。', '短评打分': 4}
{'短评内容': '很老的店。该重新装修呢。', '短评打分': 5}
{'短评内容': '平價連鎖酒店第二名', '短评打分': 4}
{'短评内容': '老住了，还不错', '短评打分': 5}
{'短评内容': '位置好 干净', '短评打分': 5}
{'短评内容': '第三次订了，帮别人订的。还可以', '短评打分': 5}
{'短评内容': '酒店位置很好，周边吃饭很方便，离地铁口也很近，去想去北京街，上下九街都很近，坐地铁也就一站或两站就到', '短评打分': 5}
{'短评内容': '酒店比较旧，地板都起来了', '短评打分': 4}
{'短评内容': '安静，干净！难得没有任何味道', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '还不错啊', '短评打分': 5}
{'短评内容': '一般', '短评打分': 1}
