{'短评内容': '老板人很好，幸运订到低价房，这个时间125太划算了', '短评打分': 5}
{'短评内容': '房间太小，不怎么样', '短评打分': 3}
{'短评内容': '由于携程的原因，订单几近更改，最后到达西安还是没有房，打了好几个电话才算找到这家，凑合住住，总比没有地方住好，国庆节价格非常贵600不到一间双人房。家庭房900不到点。很简陋，洗澡水小不方便。', '短评打分': 3}
{'短评内容': '由于携程的原因，订单几近更改，最后到达西安还是没有房，打了好几个电话才算找到这家，凑合住住，总比没有地方住好，国庆节价格非常贵600不到一间双人房。家庭房900不到点。很简陋，洗澡水小不方便。', '短评打分': 3}
{'短评内容': '性价比不错', '短评打分': 4}
{'短评内容': '在这个酒店住了5天，回来就忙。 酒店周边吃、娱、购都非常方便，离钟楼、回民街都非常近，交通也非常便利便利，老板老板娘人也很好，特热情。', '短评打分': 5}
{'短评内容': '因为之前在玩儿没有时间评价 今天统一把团购的都评价了好伐   环境没有想象中楞个好 价格有些偏高了 环境将就  本来打算住两晚 结果第二晚还是换了一个地方住  热水不太够 是电热水器  不过老板服务态度很好', '短评打分': 5}
{'短评内容': '地处出中心，繁华地段位置优越，出行方便，房间宽畅卫生，好评。', '短评打分': 3}
{'短评内容': '老板人很好，酒店位置也很不错。', '短评打分': 4}
{'短评内容': '酒店服务好，房间干净，也肃静，非常值得，下次还定这里。', '短评打分': 5}
{'短评内容': '离钟楼、回坊很近，很方便，交通也便利，老板娘很好，看我们人多还给免费升级了双大床的家庭间。总之来这没错！', '短评打分': 5}
{'短评内容': '很好的公寓房。很干净舒服，', '短评打分': 5}
