{'短评内容': '位置很好，出行很方便', '短评打分': 5}
{'短评内容': '我們到的時候已經晚上十點多了，跑到附近的24H超市買東西吃。房間裡有浴缸，洗完澡泡泡還是挺舒服的。酒店位置離大三巴牌坊很近，走路幾分鐘就到了。附近幾個景點也都不錯。', '短评打分': 5}
{'短评内容': '酒店位于市中心，离购物景点都很近', '短评打分': 5}
{'短评内容': '地理位置极好！房间也挺干净，硬件设施也不错。但是没有抽纸，空调没有热风，调成热风吹的还是冷风。还好我是双床所以一个人盖了两床被。不过澳门真的找不到便宜的酒店。路过几家当时看过的更便宜酒店，外观真的是emmmmm ', '短评打分': 4}
{'短评内容': '一般，床很小', '短评打分': 1}
{'短评内容': '一直支持京东，物流真心快', '短评打分': 5}
{'短评内容': '酒店服务良好，环境优美，安静怡人', '短评打分': 5}
{'短评内容': '非常非常非常非常好的啊', '短评打分': 5}
{'短评内容': '不错的酒店，满意', '短评打分': 5}
{'短评内容': '还不错，交通很方便，去哪儿都很近', '短评打分': 5}
{'短评内容': '好。。。。。。乙。。。。。', '短评打分': 5}
{'短评内容': '很好，用了优惠券比别家的都便宜，房间干净舒适。', '短评打分': 5}
{'短评内容': '新丽华没订到才来的这里，房间没有想象中的大，但是环境还不错很干净，但是不如直接订葡京', '短评打分': 5}
{'短评内容': '因為出差、所以定了這間、貪方便、還可以的', '短评打分': 4}
{'短评内容': '可以、不會說很差也不會說很好', '短评打分': 4}
{'短评内容': '第三次入住啦，贪地段好，方便购物，近大三巴新葡京，新百八伴就系斜对面，服务卫生还是和之前一样很好，三点左右办理入住，一开头话要等15分钟先有房，其实等左5分钟左右就有房啦，入住同退房都办理的好快，下次过澳门都系会选依间!', '短评打分': 5}
{'短评内容': '转机入住的，三个人住很划算', '短评打分': 4}
{'短评内容': '订了四间双人床   两间没窗  一间免费升级了   一间有窗   四间都连在一起同一层  住的四楼  楼层环境挺安静的   出门对面就是新八佰伴   走十几分钟就到大三巴了   前台可以免费寄存行李   就是酒店没有发票开的   只能开一张a4的入住单   其他都挺好的   房内面积虽小   但五脏俱全   对了   有一点   就是我们双人床   但是只提供一个免费一次性的浴帽   叫管家服务拿', '短评打分': 5}
{'短评内容': '也不知道是澳门本身就很小还是怎么，反正位置特别方便，就在澳门民政署和葡京酒店中间，走路就行。顺民政署前面的步行街走上去就是大三巴牌坊，人很多很热闹。葡京赌场也很近，赌场前面有个公交换乘车站能坐车到对面和澳门大多数地方。据说是国有企业开的酒店所以并不设赌场，也比较安静。早餐挺精致的，可以自选然后服务生去配餐，也有自助食品。2楼好像是个饭店所以不少人上去吃饭，不过客房层还是比较安静。客房虽大但是比较阴', '短评打分': 4}
{'短评内容': 'The hotel was old and smell of tobacco, although my room was suppose to be no smoking room.  My booking include shuttle to the Gongbei border; however, the hotel said it is not their responsibility.  ', '短评打分': 3}
{'短评内容': '酒店服务很好，wifi不是很好用。', '短评打分': 4}
{'短评内容': '地點很方便', '短评打分': 4}
{'短评内容': '离大三巴牌坊很近，购物出行都很方便。这个价格性价比还是很高的！', '短评打分': 5}
{'短评内容': '地理位置相当好，要购物，新八佰伴就在旁边，要娱乐，新葡京、英皇等娱乐场近在咫尺，相当方便，就是房价偏贵。', '短评打分': 5}
{'短评内容': '挺简约风格的酒店，离新八百伴非常近，步行去大三巴也是十分近，附近交通便利，很多有趣有旅游景点和美味餐饮。', '短评打分': 5}
{'短评内容': '不錯，，，離賭場近，，逛街方便，，吃東西也方便，，，下次再去', '短评打分': 5}
{'短评内容': '很不错的酒店 很干净而且交通也方便 可以选择入住', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
