{'短评内容': '酒店不错。', '短评打分': 5}
{'短评内容': '一般一般一般一般很普通', '短评打分': 5}
{'短评内容': '非常差', '短评打分': 1}
{'短评内容': '。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '电话4008802802', '短评打分': 5}
{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '条件一般，性价比不错。', '短评打分': 3}
{'短评内容': '物有所值。', '短评打分': 5}
{'短评内容': '很不错。', '短评打分': 5}
{'短评内容': '房间小，有异味。价格很不合理相对来说。', '短评打分': 1}
{'短评内容': '很不好，又小，房间有异味', '短评打分': 1}
{'短评内容': '行', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '好好休息吧&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '只能两个星⭐ 已经对得起 布丁了  太烂了  床品是脏的  床单有个大洞   卫生间也有一股子臭味   也是脏兮兮的', '短评打分': 2}
{'短评内容': '???????', '短评打分': 5}
{'短评内容': '没住', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '位置还不错，就近地铁站，方便出行！周边有小食一条街，方便！', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '随便住一下还是可以……', '短评打分': 4}
{'短评内容': '感觉挺满意的，吃东西很方便，既可以在酒店内就餐也可以到酒店外吃，酒店周围各种不同的餐馆、小吃店教多，还有养生的美容的，想购物的话也有较大的服装广场，公交站点也比较近，就是打车不方便，周日回家的时候足足等了20分钟没等到空车，最后还是坐的感觉挺满意的，吃东西很方便，既可以在酒店内就餐也可以到酒店外吃，酒店周围各种不同的餐馆、小吃店教多，还有养生的美容的，想购物的话也有较大的服装广场，公交站点也比较近', '短评打分': 5}
{'短评内容': '卫生间没有门是什么情况？让我们顺便看电视吗？床倒是很舒服，附近不算很吵！', '短评打分': 4}
{'短评内容': '前台办理手续很速度 房间里很干净', '短评打分': 5}
{'短评内容': '服务热情 房间的卫生很好', '短评打分': 5}
{'短评内容': '房间不错。挺大的。 作为一位入住～～～酒店的顾客，我用亲身经历发自内心的觉得，～～～酒店环境整洁，房间布局堪称完美，优雅又不失情调，服务周到，让人无比舒心。给我营造了一种家的感觉，无论大处到小处都是那么无懈可击，价格也很合理。', '短评打分': 5}
{'短评内容': '房间不错。挺大的。 作为一位入住～～～酒店的顾客，我用亲身经历发自内心的觉得，～～～酒店环境整洁，房间布局堪称完美，优雅又不失情调，服务周到，让人无比舒心。给我营造了一种家的感觉，无论大处到小处都是那么无懈可击，价格也很合理。', '短评打分': 5}
