{'短评内容': '京东的京豆为了京东方便就是京东的服务越来越差', '短评打分': 5}
{'短评内容': '不得不说速八这个酒店越做越烂了，空调声音太大了，房间冷的不行，早餐太差了。', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '整体不错，没有停车场不太方便', '短评打分': 5}
{'短评内容': '很干净整洁', '短评打分': 5}
{'短评内容': '这次是送孩子参加夏令营，卫生间类似房车的卫生间，是整体的，被子有点厚，只好把空调调低再睡，床和枕头都很舒适，睡的还挺好。', '短评打分': 5}
{'短评内容': '房间挺干净，硬件配置也很好。出差的选择性比较好。', '短评打分': 5}
{'短评内容': '酒店非常的好！', '短评打分': 5}
{'短评内容': '帮外地朋友预定的 朋友反应酒店不好 服务员事太多 个别服务员还趴门口听房间里声音 以后再也不能帮朋友预定在这里了 太奇葩了 完全无法理解 ', '短评打分': 1}
{'短评内容': '设施陈旧，凑合住还可以', '短评打分': 3}
{'短评内容': '房间太差', '短评打分': 1}
{'短评内容': '环境还可以，服务也觉得还不错，连锁酒店嘛，就是不太喜欢房间的淋浴喷头。不过就是标准的快捷酒店嘛，离车站也不远，可以哒', '短评打分': 4}
{'短评内容': '方便快捷 服务比较周到 就是早餐比较简单', '短评打分': 5}
{'短评内容': '干净，冷，，', '短评打分': 3}
{'短评内容': '环境还好，价格合适，住着还行', '短评打分': 3}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '可以可以非常可以很可以', '短评打分': 3}
{'短评内容': '价格合理 房间挺好的  就是有点小 ，还有免费的早餐 ，非常不错 哈  ', '短评打分': 5}
{'短评内容': '整体较差，从卫生到服务都没有达到速8的要求，给速8丢脸', '短评打分': 1}
{'短评内容': '整体较差，从卫生到服务都没有达到速8的要求，给速8丢脸', '短评打分': 1}
{'短评内容': '第一次住速8，卫生间好像机舱，早饭的炒面非常好吃，哈哈。', '短评打分': 5}
{'短评内容': '一来电梯就坏了，位置还可以，价格也不贵。来时第一天供暖，热得我要死也没办法', '短评打分': 1}
{'短评内容': '感觉挺温馨的，顶一下', '短评打分': 3}
{'短评内容': '交通比较便利，条件一般，房间比较小，但性价比还可以。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 3}
{'短评内容': '房间性价比比较高，位置也不错，经济实惠。不错', '短评打分': 5}
{'短评内容': '谁用我的账号定的房间？？？？？？？谁用我的账号定的房间？？？？？？？', '短评打分': 1}
{'短评内容': '挺好，物美价廉。干净整洁，交通方便，作为普通商务旅行是不错的选择。', '短评打分': 5}
{'短评内容': '房间面积小，浴室较为洁净，但浴室门口的浴垫满是头发。隔音效果不够理想', '短评打分': 5}
