{'短评内容': '晚到打电话还不可以，搞来搞去非得汇款', '短评打分': 5}
{'短评内容': '这次入住香格里拉酒店如果不是优惠价得到的房间的话感觉不爽了，房间设施和品牌有距离，早餐的规格更是搭不上香格里拉这4个字，有点遗憾！', '短评打分': 4}
{'短评内容': '很完美的一次入住体验，非常感谢礼宾部的小伙子们给我提供优质的服务，尤其是行李员汪涛先生，在参会期间给了我很多帮助，五个赞', '短评打分': 5}
{'短评内容': '非常好的酒店，就在高速口，很方便。到客户这边出差非常近，大概也就一公里左右，酒店的餐饮也非常不错，下次会继续选择', '短评打分': 5}
{'短评内容': '可', '短评打分': 5}
{'短评内容': '有点旧，早餐实在是很一般，不值这个价钱。酒店的动物是个小亮点，可是好像平时不喂的，看见游人就靠近要吃的', '短评打分': 5}
{'短评内容': '为朋友预定的。交通十分便捷，酒店就坐落于高速出入口附近。房间还被免费升级为了湖景房，很满意。自助早餐内容相当丰富。', '短评打分': 5}
{'短评内容': '提前预定的两个大床房，check in 的是为我们升级到了湖景房。自助早餐很丰富。位置就在高速出入口附近，交通很便利。', '短评打分': 5}
{'短评内容': '环境好，交通方便，餐饮不错，前台与大堂服务一流。离大学城很近，购物、餐饮很方便。总体而言，相当不错。值得推荐。', '短评打分': 5}
{'短评内容': '环境好，交通方便，餐饮不错，前台与大堂服务一流。离大学城很近，购物、餐饮很方便。总体而言，相当不错。值得推荐。', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '很好、就是比较偏远、有车的话性价比还是蛮高的。', '短评打分': 5}
{'短评内容': '自驾过去还是很方便，离西太湖还有十几公里，房间西晒太阳，周边配套设施不多，性价比一般', '短评打分': 5}
{'短评内容': '好！', '短评打分': 5}
