{'descr': '非常棒的酒店。明年还会来的', 'star': 5}
{'descr': '离培训的地方很近，酒店重新装修，比较新。房间空间小，早餐一般，可挑选的食物少。住的时候人不多，停车方便。', 'star': 5}
{'descr': '很方便，不错', 'star': 5}
{'descr': '很干净，服务也很好，值得推荐，停车场我住的时候还有好多空位，离龙阳路地铁站走走二十分钟，所以自驾地铁都还蛮方便', 'star': 5}
{'descr': '服务热情，房间干净', 'star': 4}
{'descr': '这种地方携程也能上！服了', 'star': 1}
{'descr': '电视机超级小，大约17寸左右，没有茶叶。总体说，比较舒适。', 'star': 3}
{'descr': '很好哦', 'star': 5}
{'descr': '离博览会比较近，还有专车送去。', 'star': 3}
{'descr': '一不小心定了个没有卫生间的，感觉比申花强，除了没有卫生间。', 'star': 4}
{'descr': '酒店前台一直游说客人退掉携程的订单，前台可以直接给相同价格入住！这什么跟什么啊！携程预订我可是有积分的！凭什么要退！这逻辑！这素质！建议携程跟这种小旅社谈清楚！', 'star': 2}
{'descr': '酒店位置不错，吃饭方便，服务态度好，房间干净。', 'star': 4}
{'descr': '酒店位置不错，吃饭方便，服务态度好，房间干净。', 'star': 4}
{'descr': '酒店位置不错，吃饭方便，服务态度好，房间干净。', 'star': 4}
{'descr': '酒店位置不错，吃饭方便，服务态度好，房间干净。', 'star': 4}
{'descr': '干净，舒适。前台MM服务态度很好。下次来看CJ还会住这里', 'star': 5}
{'descr': '针对考审核员学员，选择这家酒店相对来说比较方便，这家酒店就在南京广播电视大学的对面。但是酒店设施并不是很好，我订的178元/间的，连窗户都没有，酒店床单也比较旧，蚊子比较多，虽说有电蚊香，但是还是建议酒店要配电蚊拍。酒店服务还是不错。', 'star': 5}
{'descr': '酒店有点偏。隔音不好，而且晚上特别吵，影响睡眠。。。', 'star': 3}
{'descr': '此酒店不错，干净，价格很实惠，服务也很好', 'star': 5}
{'descr': '还可以，房间小了点，其它还行。房价感觉贵了一点，这么大的房间价格应在150以下较合理一些。', 'star': 5}
{'descr': '差点被他的网速逼疯\n7～11点间无法发送邮件，无法收取邮件，简直无语', 'star': 1}
{'descr': '一直帮国外客户订这个酒店。\n\n离展馆近，方便。 \n\n各项服务也不错。 \n\n本次中国之行，他总在此酒店入住了近8天。', 'star': 5}
{'descr': '除非参加展会，而且附近其他酒店已满，否则不建议住这里。根本不值这个价，80元旅馆水平。', 'star': 1}
{'descr': '距离浦东国际展览中心较近。\n\n国外客户住的还可以。\n\n考虑推荐入住。', 'star': 5}
{'descr': '房间不是很大但服务很好物有所值', 'star': 3}
{'descr': '我是帮国外一位朋友订的。他连续几次住这里了。 \n\n说到展馆方便。\n\n吃住行都好。 \n\n我想应该还算不错吧。', 'star': 5}
{'descr': '硬件设施比较旧，但还很干净，隔音比较差，总体性价比还好，周边出租车较多', 'star': 5}
{'descr': '建议该宾馆市话不应收费,经营理念太落伍,影响回住率。谢谢!', 'star': 3}
{'descr': '房间还可以,麻雀虽小,五脏具全,没有想象中的潮湿,适合一个人出门在外入住', 'star': 3}
{'descr': '有点偏远，房间小，网络超级慢。。。。..', 'star': 1}
{'descr': '满意', 'star': 3}
{'descr': '不错。。。。', 'star': 3}
{'descr': '靠马路吵死了,卫生间还可以.', 'star': 3}
{'descr': '我住的是标准间，很小，有味道；隔壁半夜传来麻将声；早餐只有鸡蛋和点心。', 'star': 1}
{'descr': '房间好小，淋浴间透明的，有点暧昧！桌子也好小，因为住了好几天，房间也没怎么打扫，唉，一般吧，有点贵！', 'star': 5}
{'descr': '宾馆门脸很小，房间也小，潮湿，地板竟然长蘑菇，长见识了。', 'star': 1}
{'descr': '服务很好，硬件比较差!', 'star': 3}
{'descr': '不错不错', 'star': 3}
{'descr': '酒店位置有点偏僻，隔音不好，但是还算干净卫生，服务员态度不错，看车展有车接送，下次来上海还会考虑。', 'star': 5}
{'descr': '袖珍型标间，这个价位的酒店能有这个样子不错了，总台的服务员态度很好！', 'star': 5}
{'descr': '地方小，但环境还不错。', 'star': 3}
{'descr': '房间不大，但卫生方面还好，位置有点偏，但周边交通还比较便利。', 'star': 3}
{'descr': '朋友推荐的，总体感觉还不错，挺干净的，就是位置有点偏。', 'star': 3}
{'descr': '房间太小了', 'star': 3}
{'descr': '服务挺周到的，设施也还好，性比还不错。', 'star': 5}
{'descr': '房间迷你，浴室的洗澡部分和方便部分没有隔断，每个房间都这样，可能是一个特色，卫生间通透玻璃，而且无门，适合情侣。我住了2晚上，跳了3次闸，很郁闷。特别是洗澡时满身泡泡，突然停电，感觉鸭梨不小。', 'star': 5}
