{'短评内容': '还行吧，还行吧？', '短评打分': 3}
{'短评内容': '总能找到便宜的店', '短评打分': 5}
{'短评内容': '离出差办公地点不远', '短评打分': 4}
{'短评内容': '嗯额', '短评打分': 5}
{'短评内容': '离地铁口不远', '短评打分': 4}
{'短评内容': '酒店位置好 邻近1号线 很安静 就是设施少了点 晚上很冷想盖个被子也没有', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 5}
{'短评内容': '环境还可以，挺不错的！', '短评打分': 5}
{'短评内容': '交通方便，环境安静，服务也不错，经常来住', '短评打分': 5}
{'短评内容': '房间还可以，但总有一些地方做得不够周到，比如说吹风机！这次住了四个不同的房号，有的吵，只有一间还算满意的！', '短评打分': 4}
{'短评内容': '房间还可以，但总有一些地方做得不够周到，比如说吹风机！这次住了四个不同的房号，有的吵，只有一间还算满意的！', '短评打分': 4}
{'短评内容': '房间还可以，但总有一些地方做得不够周到，比如说吹风机！这次住了四个不同的房号，有的吵，只有一间还算满意的！', '短评打分': 4}
{'短评内容': '基本可以，性价比高', '短评打分': 5}
{'短评内容': '整洁干净，离地铁站不远，无线网覆盖。很好...', '短评打分': 3}
{'短评内容': '还可以，交通便利，周围吃饭也方便。', '短评打分': 3}
{'短评内容': '不错！！！！！！', '短评打分': 5}
{'短评内容': '服务态度好', '短评打分': 5}
