{'短评内容': '位置优越', '短评打分': 5}
{'短评内容': '地理位置优越', '短评打分': 5}
{'短评内容': '位置离国际商贸城非常近。服务员态度很好。房间干净，也漂亮。对房间很满意的。但附近找个吃饭的地方好像不容易。也可能我们没有找到。酒店附近好像是印度人聚集地一样。', '短评打分': 5}
{'短评内容': '位置离国际商贸城非常近。服务员态度很好。房间干净，也漂亮。对房间很满意的。但附近找个吃饭的地方好像不容易。也可能我们没有找到。酒店附近好像是印度人聚集地一样。', '短评打分': 5}
{'短评内容': '性价比高，位置好找。', '短评打分': 5}
{'短评内容': '经济实用，方便快捷', '短评打分': 3}
{'短评内容': '酒店很干净，服务态度好！', '短评打分': 5}
{'短评内容': '晚上有点乱，不知是空调还是水泵什么的响', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '每次出差都住这，卫生很普通，比较方便罢了', '短评打分': 4}
{'短评内容': '经济实惠！交通方便！会员价很好！', '短评打分': 5}
{'短评内容': '8211房间 卫生间淋浴头没用，空调也不怎么制热   冻了一个晚上  小失望  不过服务态度挺好', '短评打分': 4}
{'短评内容': '还不错，交通也方便', '短评打分': 4}
{'短评内容': '服务凑合，卫生比较好，地段比较好，总得来说值。', '短评打分': 4}
{'短评内容': '如家还是一如既往给人温馨的感觉，只要出差，我首选肯定是如家酒店，这次8410房间虽然空间小了点，不过对现在冬天来说不碍事  这次携程网预定的酒店  赞一个', '短评打分': 5}
