{'短评内容': '位置挺好，价格便宜，就是安保一般，跟老婆一起住的开门竟然掉了一地那种名片，快十一点了听见门响把老婆吓坏了以为是有人敲门，我起来看了下又是塞广告的，再就是噪音太大了，给个中评吧', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '位置还好，离江边很近，周边吃东西的地方也很多', '短评打分': 4}
{'短评内容': '手机地图上找不到这家店，只能定位到旁边的那家超市', '短评打分': 5}
{'短评内容': '酒店位置不错，离江滩挺近的。房间里没有毛巾，没有香皂，没有矿泉水，在房间里给你放着两瓶，是要收费的，房间比前一天住的如家稍大那么一点，隔音效果也不错，没有噪音。', '短评打分': 4}
{'短评内容': '没房间了，都满了', '短评打分': 5}
{'短评内容': '卫生干净，环境好', '短评打分': 5}
{'短评内容': '还行吧。不错。呵呵呵呵呵', '短评打分': 5}
{'短评内容': '不行，环境不好', '短评打分': 5}
{'短评内容': '环境非常干净，空气靠外', '短评打分': 5}
{'短评内容': '环境非常好，卫生干净，', '短评打分': 5}
{'短评内容': '环境好，服务态度也好', '短评打分': 5}
{'短评内容': '挺好的，房间很干净。服务员服务态度也很好', '短评打分': 5}
{'短评内容': '好评好评好评', '短评打分': 5}
{'短评内容': '很满意，好评', '短评打分': 5}
{'短评内容': '很满意的一次入住', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '位置很好，在江边，附近吃饭的也多', '短评打分': 5}
{'短评内容': '每次去武汉办事都住这 总体来说有点老旧了 价格不如直接在官网订', '短评打分': 3}
{'短评内容': '一向都不错，推荐，便利', '短评打分': 5}
{'短评内容': '房间太小，转个身都不容易', '短评打分': 4}
{'短评内容': '老街，很不错，去哪都方便，干净卫生', '短评打分': 5}
{'短评内容': '周围环境还行，挺清净的，房间还行，挺干净的，就是wifi慢了一点', '短评打分': 4}
