{'短评内容': '地理位置绝佳，电梯不太给力！', '短评打分': 4}
{'短评内容': '还好吧……就是便宜吧！交通还行！', '短评打分': 3}
{'短评内容': '位置还不错，酒店安全比较好，就是房间晾衣服不方便，然后每天不会打扫', '短评打分': 3}
{'短评内容': '还不错 房间挺亮的 就是不太好找 服务人员态度好', '短评打分': 3}
{'短评内容': '非常好，地点方便，环境优美，值得入住', '短评打分': 3}
{'短评内容': '性价比不错，位置不错。', '短评打分': 4}
{'短评内容': '酒店位置不错  在市中心  价格合理 老板人很热心 大半夜还能出来接我们酒店设施齐全 有两个双人床 很宽敞 ', '短评打分': 4}
{'短评内容': '设施齐全 就是比较简陋', '短评打分': 5}
{'短评内容': ':房间挺大，感觉挺好的，位置也很好，离星海广场很近，开车不用十分钟就到，美中不足的是洗衣机坏了，电视也不能看，床硬点，这个价位在大连算不错的了！', '短评打分': 3}
{'短评内容': '环境不错也很干净下次还去', '短评打分': 3}
{'短评内容': '屋内装修的很温馨。\n就像回家了一样。\n交通便利。\n\n老板人很好~', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '地点和环境都很好，但是好像杯子和毛巾没消毒，回来身上都出红色的小斑点', '短评打分': 5}
{'短评内容': '酒店挺好找的，安全方面也不错，老板人很好\n', '短评打分': 3}
{'短评内容': ',不错', '短评打分': 3}
{'短评内容': '去年去过大连住的也是公寓式酒店，那次感觉真的很好。但这次选错了，老板有些姜太公的味道，把钱看得太重了！结帐时还多收了50元，由于公费而且匆忙也没细想（希望不是故意的）。虽然我支持个体，但你们仍需努力！！！', '短评打分': 1}
{'短评内容': '房间挺好的。和想象的差不多。就是电脑太卡了。没法玩\n', '短评打分': 5}
{'短评内容': '很有家的感觉，电器设备都很齐全，就是电淋浴器不给力，每次都要等它加热到一定温度才能洗，不然洗到后面就是凉水啦，呵呵，不过总体还是可以的。', '短评打分': 5}
{'短评内容': '非常不错的公寓式酒店,下次去大连还会去的', '短评打分': 5}
{'短评内容': '地点不错，老板人很好。给个好评，我会向朋友推荐的。', '短评打分': 5}
{'短评内容': '总体还可以，环境和地理位置还不错，我住了四宿，老板人很好。', '短评打分': 5}
{'短评内容': '位置不错', '短评打分': 3}
{'短评内容': '总体还不错 房子很大  ', '短评打分': 3}
{'短评内容': '交通方便，但是地板不是很好，陈旧了。\n举家旅游，比较适宜。', '短评打分': 5}
{'短评内容': '老板服务态度好，下楼来接了，免费升级了套房加了床，服务热情，房间干净，物超所值，就是套房没有宽带，希望以后改进，总体来讲是个很不错的地方，离星海广场打车十块钱。', '短评打分': 5}
{'短评内容': '房子很好，宽敞明亮，床很大，很舒服！', '短评打分': 3}
{'短评内容': '环境不错，老板人确实不错，周边也特别方便，啥都有。', '短评打分': 5}
{'短评内容': '＋房间很干净，房间视野很好，安静。床能再大点就好了。总体很好！', '短评打分': 3}
{'短评内容': '很好，交通方便，环境也很干净', '短评打分': 3}
{'短评内容': '房间内可以做饭非常方便，出行也很方便，就是隔音效果不好。', '短评打分': 3}
{'短评内容': '优点：\n1\\入住及退房方便快捷；\n2\\对目标客户群体定位清晰，价格实惠；\n3\\类似于家庭式公寓，有厨房及洗衣设备，可以自己做菜做饭，生活方便；\n4\\位于市内黄金地段，视野极佳，房间整洁干净；\n建议：办理手续的服务生是个男的，有点不太正规感觉；房间布置或家居，再增加一些生活气息以及艺术品就好了（比如增加挂画或其它艺术品，增加常用品如纸，笔等）；再就是被床单等看上去有些旧，让人在卫生方面有不放心感。\n', '短评打分': 5}
{'短评内容': '公寓环境非常好，地点也挺方便，老板也很热情，只是空调效果差点，热水供应不是很充足，总体还是很不错的', '短评打分': 3}
{'短评内容': '价格合理，经济实惠，适合出差，不错的，可以推荐', '短评打分': 5}
{'短评内容': '很暖和，环境也不错，位置也好，各方面都比较满意', '短评打分': 5}
{'短评内容': '环境很舒服，但晚上休息时稍微有点吵，窗外过往车辆频繁；热水器加热慢，蓄水少，洗澡不方便。', '短评打分': 5}
{'短评内容': ' 老板人还是很好的,就是订的是带宽带的房间,结果被告知宽带不能用,洗澡的水会凉的很快,总体感觉还是不错的', '短评打分': 3}
{'短评内容': '很温馨 适合情侣居住  网速也很快 很暖和', '短评打分': 5}
{'短评内容': '房间很暖和  环境非常好  有家的温馨感', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 3}
{'短评内容': '房间还可以就是有点冷', '短评打分': 3}
{'短评内容': '环境不错,房间很大和图片一样,有家的感觉.', '短评打分': 3}
