{'短评内容': '还好吧，方便', '短评打分': 3}
{'短评内容': '空调不制冷，其他的还好。', '短评打分': 5}
{'短评内容': '可以……………………………………………………………………………………………………………………………………', '短评打分': 5}
{'短评内容': '位置很好 环境也不错 住着舒服', '短评打分': 5}
{'短评内容': '卫生环境', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '交通便利，环境不错，就是有点吵', '短评打分': 4}
{'短评内容': '不错！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '来东莞总站的首选酒店！很干净，服务也好，地理位置也不错', '短评打分': 5}
{'短评内容': '很好很舒服', '短评打分': 5}
{'短评内容': '房间干净 环境好', '短评打分': 5}
{'短评内容': '房间很干净，旁边是麦德龙，对面是万江华南摩游乐场和天河百货，万江商圈中心，非常方便', '短评打分': 5}
{'短评内容': '还不错，连住了两天', '短评打分': 5}
{'短评内容': '位置好，楼下就有大超市、商场、公交站，方便。', '短评打分': 5}
{'短评内容': '性价比不错，很干净', '短评打分': 4}
{'短评内容': '快捷酒店的服务和住宿，附近吃饭比较方便，其他的都可以', '短评打分': 5}
{'短评内容': '总体感觉不错。缺点电视太小太老款了，开着这个电信电视速时电脑上网会不够速度，还有马桶的冲水按坏了，害得我不敢，而且打电话服务台叫了很久才有人上来修，不到一会又坏了，晚上十一多叫送个桶面，催了一次，十二点五十分才送过来', '短评打分': 5}
{'短评内容': '环境安静！停车方便', '短评打分': 5}
{'短评内容': '好高好高好高好高好好', '短评打分': 5}
{'短评内容': '挺不错的，房间挺干净', '短评打分': 5}
{'短评内容': '服务态度较好，早餐丰富', '短评打分': 4}
{'短评内容': '早上7点广州的飞机，对面是候机楼，所以住在这地方，可以吧！', '短评打分': 4}
{'短评内容': '酒店服务较好，最近升家了。', '短评打分': 4}
{'短评内容': '蛮不错的，就是走廊里有股异味\n\n整体推荐\n\n', '短评打分': 5}
{'短评内容': '有阳台', '短评打分': 3}
{'短评内容': '乾淨較新，性價比較高。值得再次入住。', '短评打分': 3}
{'短评内容': '感觉很好,住得很舒心,以后还会再去的,经济实惠,且干净卫生,安全.', '短评打分': 5}
{'短评内容': '酒店环境、装修的都很好，就是房间太小了，坐车、买东西都很方便', '短评打分': 5}
{'短评内容': '早起赶飞机非常方便，走到东莞城市候机楼7-8分钟。房间小巧精致，有阳台采光非常好。床铺很软。就在麦德龙大门旁边，治安挺好的。旁边5分钟就是万达影城。吃的必胜客、麦当劳、肯德基，快速食品凑活吧。', '短评打分': 5}
{'短评内容': '锦江酒店真的环境不错，卫生也好，价廉物美！！超值了。。。。。会推荐给朋友加入会员的。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': ' 干净 房间很大', '短评打分': 3}
{'短评内容': '錦星麥德龍店位處較偏僻，除了對面華南MALL大商場外，較無可逛街道，除非再坐車，房間是乾淨。', '短评打分': 3}
{'短评内容': '房间很干净，还带阳台。床很软很舒服。餐厅全天营业很方便，早餐很丰盛。只是我手机没电要求七点叫早不知道为什么早上没有电话叫早。还好很早就醒了不然就误事了。', '短评打分': 3}
{'短评内容': '位置是还不错，在麦德龙里，还行吧，周围没什么吃饭的地方', '短评打分': 5}
{'短评内容': '交通方便,酒店设施服务也不错，适合差旅人士', '短评打分': 5}
{'短评内容': '交通便利，干净卫生，早餐不错，值得入住！', '短评打分': 5}
{'短评内容': '酒店很干净，附近也很清静，最重要离车站也很近', '短评打分': 5}
{'短评内容': '清洁简单实惠,交通方便,附近有影院\\商场,还会再次入住..........', '短评打分': 5}
{'短评内容': '很不 错 干净 整洁  紧挨 麦德龙  对面就是万达广场', '短评打分': 5}
{'短评内容': '位置不错，就是华南MALL对面。楼下又有麦德龙，购物非常方便。房间最好可以有无线上网。', '短评打分': 5}
{'短评内容': '有点小···尤其是马桶！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '帮同事订的，就是冲着锦江之星的服务和性价比。若有可能，以后还是会住锦江之星。', '短评打分': 5}
{'短评内容': '酒店很安静和干净。靠近东莞万江汽车总站，还算挺方便转车的。', '短评打分': 5}
{'短评内容': '好 好 VERY GOOD 很好的!!!!!!!!!', '短评打分': 5}
{'短评内容': ' 干净，很舒服！屋子稍微有些不隔音！总体来说不错！', '短评打分': 3}
{'短评内容': '已经连续住了几天了，下次来还会住，位置还是很方便的', '短评打分': 5}
{'短评内容': '干净，舒适！我常住锦江，因全国各地都有！物美价廉啊！以前锦江是没有吹风机的，现在有了，所以十全十美了！顶一个~', '短评打分': 5}
{'短评内容': '连续住了两天了，明天还会住，就是后面有房子在建，有点吵，但是阳台的门隔音效果还是不错的', '短评打分': 5}
{'短评内容': '服务周到。设施一般，商务房感觉空间有点小。酒店的走廊有点闹。', '短评打分': 5}
{'短评内容': 'it is an economical hotel.\nif the bath room can be a little big, then it will be quite fine to stay for business trip.', '短评打分': 5}
{'短评内容': '很方便，距离长途汽车站很近，距离民航巴士站点也很近，旁边还有麦德龙，只不过近期旁边在盖楼，白天有一点点吵', '短评打分': 5}
{'短评内容': '很好，这个酒店服务很周到，东西都齐全，交通方便，挺适合的', '短评打分': 5}
{'短评内容': '还不错，每次来都住的是这家酒店！', '短评打分': 3}
{'短评内容': '房间较舒服 地段较好 离汽车总站近 洗澡水太小 马桶漏水严重', '短评打分': 3}
{'短评内容': '还可以，离汽车站很近，总体环境不错，就在大型超市的里面', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房间比较简洁，还好！但是洗手间太小了，胖的人感觉肯定不舒服。', '短评打分': 5}
{'短评内容': '地址位于东莞汽车总站对面，很近，很方便，就是旁边有一个在建的工地', '短评打分': 5}
{'短评内容': '基本上属于性价比比较高的一家酒店，干净整齐。位于华南MALL对面，交通便利。不错。', '短评打分': 5}
{'短评内容': '酒店的服务卫生方面还是不错的,设施条件也还可以,周边环境也不错的,出行挺方便的,整体感觉性价比还是不错的.', '短评打分': 3}
{'短评内容': '挺干净，位置也不错，性价比还可以', '短评打分': 5}
{'短评内容': '酒店当时住感觉还不错,蛮干净的,服务也挺积极的,比较经济实惠!', '短评打分': 3}
{'短评内容': '不差!', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及设施都很好的，周边吃饭不是很方便的，交通很方便的，性价比还可以的酒店 ', '短评打分': 5}
