{'短评内容': '出差 住在公司总部附近。还不错 性价比比较高', '短评打分': 5}
{'短评内容': '还行吧，挺便宜的', '短评打分': 5}
{'短评内容': '总体来说一般。', '短评打分': 4}
{'短评内容': '环境不错！离奥体公园很近', '短评打分': 4}
{'短评内容': '除了设备陈旧，周围不繁华，毕竟价格便宜，还离奥林匹克公园近', '短评打分': 5}
{'短评内容': '很好很好！！！', '短评打分': 5}
{'短评内容': '很好很好！！', '短评打分': 5}
{'短评内容': '不错！谢谢', '短评打分': 5}
{'短评内容': '不错的地方，下次还会住', '短评打分': 5}
{'短评内容': '一位置不错，办事方便，屋冷', '短评打分': 5}
{'短评内容': '办事方便，离地铁口十分钟。附近吃的少，房间不错，就是太冷了，中央空调还调不了', '短评打分': 5}
{'短评内容': '还不错，物有所值吧。', '短评打分': 5}
{'短评内容': '对，没有窗户，呵呵', '短评打分': 5}
{'短评内容': '房间很干净，简洁漂亮。大床房的床真的很大，厕所还比较干净，服务员态度好。', '短评打分': 5}
{'短评内容': '酒店不错。而且服务人员态度很好。无窗的大床房有点异味，把厕所门关上就好了。关上灯睡觉会不知道几点了。在哪里住了好几天，', '短评打分': 5}
{'短评内容': '在北京这所城市，乐途酒店性价比不错，厕所有异味，房间隔音效果不太好。', '短评打分': 5}
{'短评内容': '先说优点吧：\n一，房间很干净，简洁漂亮；\n二，大床房的床真的很大，三个人睡都不嫌挤，一个人睡更爽；\n三，厕所还比较干净；\n四，服务员不算热情但态度还是比较好的。\n下面说缺点：\n一，一进门就是厕所，感觉真的不太好；\n二，厕所里有奇怪的味道，挺重的；\n三，隔音效果无比烂，大半夜和大清早的时候尤为明显；\n四，最重要的一点，酒店的地点真的不好找，打车都到不了，因为没有司机知道这个位置；我的经验，如果打车，', '短评打分': 1}
{'短评内容': '地方位置挺好找的。地理位置也不错，就在五环边上，中央空调，就是有窗户的房间不多。性价比还挺高的。交通也算方便，赶上北京下大雨住的', '短评打分': 5}
{'短评内容': '酒店很好，很干净，在这个价格区间算是一个很好的酒店，地理位置也还好，', '短评打分': 5}
{'短评内容': '房间较大，用水很好，只是早上不设早餐很悲催', '短评打分': 3}
{'短评内容': '服务态度超级差，而且空调坏了一修就要大半天，基本只要喊服务就是要用等的，一点也不推荐来这里，太垃圾了！', '短评打分': 1}
{'短评内容': '酒店有点难找', '短评打分': 3}
{'短评内容': '宾馆的位置很方便，服务员的态度好而且价格也很公道。离地铁不远。', '短评打分': 5}
{'短评内容': '其实在北京那个地方他家价格合理，但是就是太远了', '短评打分': 5}
