{'短评内容': '交通很便捷', '短评打分': 5}
{'短评内容': '酒店不错啊，双层玻璃隔音，卫生也好，汉庭还是一如既往的好，就是在携程定好的房间，到了酒店说没有了，要加钱，但是携程给我补了差价', '短评打分': 5}
{'短评内容': '干净卫生，很舒服', '短评打分': 5}
{'短评内容': '很方便，出门就是火车站的出站口和售票厅', '短评打分': 5}
{'短评内容': '经济实惠！服务态度好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境不错，????', '短评打分': 5}
{'短评内容': '很舒适', '短评打分': 5}
{'短评内容': '好的', '短评打分': 5}
{'短评内容': '十一点半就开始一直催 十二点多一点退房态度差 竟然和客户说：我都懒的说你', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好好好好好好好刚刚好', '短评打分': 5}
{'短评内容': '环境好，卫生程度高，交通便利', '短评打分': 5}
{'短评内容': '凑合凑合凑合', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '出了火车站就看到了 很近。酒店整体设施比较陈旧，附近也没什么吃的，出行比较烦，还好滁州物价不高，出门都是打的的不然吃不消。因为就在火车站边上，可以很明显听到火车声，很吵。', '短评打分': 4}
{'短评内容': '还是比较干净的。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '门口就是火车站，有点吵，睡觉比较浅的人不太适合 其他都还不错', '短评打分': 4}
{'短评内容': '很不错经济实惠', '短评打分': 5}
{'短评内容': '交通方便，服务贴心。', '短评打分': 5}
{'短评内容': '酒店很好，很干净，我住的是特价房，房间整洁，卫生间干净，离市区很近，性价比很高，但是靠近火车站，有点吵，喜欢安静的朋友入住不太合适。', '短评打分': 5}
{'短评内容': '总体上我很喜欢、就是没有无线网没有电脑。不过特价房能做成这样真的很不错了。\n好评五颗星、、、', '短评打分': 5}
{'短评内容': '离火车站近，但是不是高铁站，晚上有点火车噪音', '短评打分': 5}
{'短评内容': '物有所值！', '短评打分': 3}
{'短评内容': '干净、房间无异味。虽靠近火车站，个人感觉火车到不吵，通知到站的广播有点吵，服务态度也很好，总体感觉不错', '短评打分': 5}
{'短评内容': '还可以，就是火车比较几滚。周围的早餐小饭店很给力，各种各样，也不贵。', '短评打分': 5}
{'短评内容': '滁州站这的汉庭很方便\u3000而且干净\u3000是第二次住了\u3000服务态度也很好\u3000给个好评', '短评打分': 3}
{'短评内容': '不错，去时无特价房，给了一个大床房，还特价', '短评打分': 5}
{'短评内容': '房间面积够大，服务态度也不错。就是刷牙杯是一次性的有些浪费', '短评打分': 5}
{'短评内容': '紧靠火车站出站口，晚上很吵。\n服务意识不错，但服务不怎么到位。\n其他都还不错。', '短评打分': 1}
{'短评内容': '因为离火车站比较近，所以比较吵。交通倒是很方便了', '短评打分': 5}
{'短评内容': '服务不错,离火车站真的很近,卫生如果更干净点就更好了', '短评打分': 5}
