{'descr': '浦东这个价位已经不错了', 'star': 3}
{'descr': '价位还可以', 'star': 3}
{'descr': '环境服务可以，无线网不太好', 'star': 5}
{'descr': '问阿姨拿一根毛巾，她给我的是地巾。无语了，看储藏室里一排浴巾，偏给我地巾 还说消毒过了都一样', 'star': 5}
{'descr': '可口可乐了可口可乐', 'star': 5}
{'descr': '住好多次了 还可以', 'star': 5}
{'descr': '行', 'star': 5}
{'descr': '酒店很干净', 'star': 5}
{'descr': '位置不错，性价比还不错，干净', 'star': 5}
{'descr': '楼下尿骚味严重，环境真的不好', 'star': 3}
{'descr': '100元的酒店，又是上海，能保证不脏、安全已经很不错了。', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '还能接受，不过里面毛巾浴巾都没有的，有窗的房间也不是很舒服。', 'star': 3}
{'descr': '好评', 'star': 5}
{'descr': '服务态度可以，酒店装修还可以.', 'star': 4}
{'descr': '不好', 'star': 1}
{'descr': '不错，经济卫生。对得起这个价格。以后个人出行，还是可以选择的。', 'star': 5}
{'descr': '一个字，烂，两个字，很烂，三个字，超级烂，住的我凌晨3点换酒店，房间小限制热水先不说，旁边工厂货柜车进进出出的忙到凌晨3点多，还在继续，吵的要命，大货柜经过缓冲带的声音和倒车请注意的声音，一句话，房间隔音很差劲，上半夜听隔壁房间叫声，下半夜听货柜声音！！！句句属实！！！', 'star': 1}
{'descr': '房间不是很大、还不错，挺温馨的，就是有点远。', 'star': 5}
{'descr': '很简洁的小店 室内整理是绿色 给人一种很温馨很大自然的感觉。', 'star': 5}
