{'descr': '房间性价比高，设施齐全，干净，前台人很好', 'star': 5}
{'descr': '来了一次再也不会来了，服务态度超级差，房间里超恶心，感觉都是用过没打扫的，矿泉水喝了一半放在那，空调遥控器电池不知被咬了多少次，住过最差的一次！淋浴的水龙头都是粘粘的超恶心！希望不要来，真后悔，应该定周边的其他酒店', 'star': 1}
{'descr': '交通便利，周围吃东西放便，楼下有超市', 'star': 5}
{'descr': '早餐酒店有，周围也有吃东西的地方，离地铁口近，出行比较方便', 'star': 5}
{'descr': '交通便利，附近购物方便', 'star': 5}
{'descr': '住的很好很舒服服务也还不错', 'star': 5}
{'descr': '便捷酒店，也别期待太多。相比南京的汉庭，苏州的陈旧了很多。', 'star': 3}
{'descr': '噪音太大，一楼106房间，可能是因为下雨天吧，外面有孰料桶之类东西，声音很响一整晚', 'star': 3}
{'descr': '房间不错环境蛮好的下次还来', 'star': 5}
{'descr': '找半天没有找到梳子！', 'star': 5}
{'descr': '床单有红点', 'star': 3}
{'descr': '很好.................', 'star': 5}
{'descr': '除了空间略显紧凑外，其他都很不错，特别是有停车场，方便开车出行的旅客。我找了两家没停车场，才找到这里', 'star': 5}
{'descr': '位置可以，出行方便，吃饭也方便，设施稍旧，余无特殊，可以入住。', 'star': 3}
{'descr': '挺好的', 'star': 5}
{'descr': '不错！不错！下次还住！！！', 'star': 5}
{'descr': '条件实在是有些简陋了，但服务态度还算不错。', 'star': 1}
{'descr': '交通便利 服务好 房间干净', 'star': 3}
{'descr': '性价比很好的快捷酒店 值得推荐 ', 'star': 3}
{'descr': '还不错，就是要担保有点麻烦，确认过了半个多小时', 'star': 5}
{'descr': '环境卫生都不错~交通也很方便~边上也有饭店~', 'star': 5}
{'descr': '环境不错！', 'star': 3}
{'descr': '不错的一家宾馆，希望大家都要去住住，就是洗澡不方便', 'star': 5}
{'descr': '都不错，就是有时候宽带不行，住的这2天几乎每一小时掉一次线。', 'star': 5}
{'descr': '不行                                                           ', 'star': 1}
{'descr': '位于闹市中心位置，地理环境优越，适合商务旅游入住。打分7分（10分满分）', 'star': 5}
{'descr': '总的来说是一家不错的酒店，前台的服务态度也很赞一个。我订的是大床房住的很舒服！很不错，晚上附近的小吃也有，可以买些烧烤什么的。还有些小店蛮不错！\r\n唯一需要注意的是大厅里的各种感光小虫很多，可能需要及时杀虫，不然会吓到胆小的女生的。', 'star': 5}
{'descr': '洗澡很舒服，就是地方离始中心有点远，交通要换很多车不妨边', 'star': 5}
{'descr': '+环境很好。不错。', 'star': 5}
{'descr': '态度很好', 'star': 3}
{'descr': '工作人员的服务态度挺好！', 'star': 5}
