{'短评内容': '很棒 房间也蛮干净的', '短评打分': 5}
{'短评内容': '房间小了，只能睡睡觉', '短评打分': 4}
{'短评内容': '灵隐寺边上，环境挺好，挺安静，喜欢有个小阳台。停车也方便，就是入口有点难找，20块钱一天。杭州其实蛮堵的，以后乘高铁来其实蛮方便。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '非常赞，老板和老板娘也很热情周道。多的就不说了，上图了。就是房间没多拍几张，布置也很美。', '短评打分': 5}
{'短评内容': '去烧香很方便，房间宽敞，老板也很好，早餐很好吃', '短评打分': 5}
{'短评内容': '还行吧，个人家的客栈。', '短评打分': 4}
{'短评内容': '位置好，老板好，客栈安静，在白乐桥想找到有阳台的客栈好不容易，尤其是这么大的，价格还合理的！', '短评打分': 5}
{'短评内容': '特别棒，环境好', '短评打分': 5}
{'短评内容': '从酒店到灵隐寺售票处，步行10分钟左右。早晨空气非常棒，还有鸟叫声。是一个别墅区改成的民宿群。要说缺点吧，应该就是比较偏僻。从这边去西湖边，打车不超过20元。老板介绍去旅马跟拾年餐厅都非常赞，三个人点三个菜110。吃完八点左右打车回民宿，其实步行也就十多分钟，就是太暗了。老板老板娘人都很好。给一个小建议就是，排插可以改成有按钮的，因为在床头比较不安全。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '??房间有特色，有情调，老板热情健谈～地理位置去哪都方便。推荐噢！', '短评打分': 5}
{'短评内容': '环境非常好。老板非常热情。', '短评打分': 5}
{'短评内容': '环境还不错值得住 不过房间灯有点暗', '短评打分': 3}
{'短评内容': '服务态度真心不咋滴，本来地方还不错', '短评打分': 3}
{'短评内容': '逛完灵隐寺打车出去，司机说住在这里很不方便。但是房间真的很有特色，老板人也很好，很温馨的感觉。如果出来玩，纯粹住酒店的话，太多的特色就体会不到了。还是大力推荐住民宿。', '短评打分': 5}
{'短评内容': '环境很不错，是我喜欢的欧式田园风格，狠适合情侣，不过，我们是三人，所以住得春上村墅，有一个天窗，能看见窗外，但是今夜没有星光啊，遗憾！房间有提供洗漱用品，总之，还是很不错的！', '短评打分': 5}
