{'短评内容': '这么热，空调还要另外收费', '短评打分': 3}
{'短评内容': '开空调还要加10元钱', '短评打分': 1}
{'短评内容': '一般，开空调还要交钱', '短评打分': 3}
{'短评内容': '卫生超差！第一次遇到开空调还要收钱的', '短评打分': 3}
{'短评内容': '超级差', '短评打分': 1}
{'短评内容': '还可以……就是价格有点偏高……', '短评打分': 5}
{'短评内容': '还可以价格值得上', '短评打分': 4}
{'短评内容': '挺不错的，方便，在闹市区这价格特别公道', '短评打分': 5}
{'短评内容': '位置挺好的，就是里面太破了，又小，看起来都不舒服', '短评打分': 3}
{'短评内容': '来这边几次了，都是住这家，便宜也干净', '短评打分': 5}
{'短评内容': '性价比很高，位置服务挺高好', '短评打分': 5}
{'短评内容': '干净卫生，还会入住', '短评打分': 4}
{'短评内容': '环境不错，楼下逛街也方便，晚上不吵，这点在这个地段的酒店算优势', '短评打分': 5}
{'短评内容': '来几次了，每次都很满意，还是连所酒店比较让人放心！', '短评打分': 5}
