{'短评内容': '服务还可以。', '短评打分': 3}
{'短评内容': '环境不错，就是早餐时间有点早。环境不错，就是早餐时间有点早。', '短评打分': 5}
{'短评内容': '酒店太老了 晚上没有热水  不能洗澡 过年本来就是走亲戚太累了  晚上想洗澡洗脚舒舒服服睡觉的  就是没有热水 怎么让人解乏  服务也不是很满意 太令人伤心了', '短评打分': 4}
{'短评内容': '房间温度低，带着孩子两床并在一起，被子落在一起才有温度。设施不齐，最基本的酒店介绍都没见着。服务态度还行。', '短评打分': 3}
{'短评内容': '经济实惠，性价比还可以', '短评打分': 4}
{'短评内容': '总体来说，还不错', '短评打分': 4}
{'短评内容': '设施老，早餐比较差，连餐巾纸都没有', '短评打分': 4}
{'短评内容': '设施老化', '短评打分': 3}
{'短评内容': '标准的星级酒店', '短评打分': 5}
{'短评内容': '房间太老了，不符合四星级酒店标准。房间东西比较差，房间没有瓶装水，没有食品，全部需要自己出去买。只能说凑合。', '短评打分': 3}
{'短评内容': '设施有点旧，环境不错，其他也方便。', '短评打分': 4}
{'短评内容': '挺好的，', '短评打分': 5}
{'短评内容': '不错，都挺好的', '短评打分': 5}
{'短评内容': '酒店服务一般，硬件设施、设备老旧！让你能找到上世纪90年代的感觉！但是卫浴还是美标的呢！', '短评打分': 4}
{'短评内容': '比较老的酒店，定了多个房间，有的房间设施有坏的，我住的那间还可以。周边有许多小店，买东西很方便，停车也方便。', '短评打分': 4}
{'短评内容': '奎屯是我比较熟悉的城市了，第一次凌晨入住东方国际，入店就查到我的订单了，这点比乌苏富丽华好（没找到订单，还好最后入住了），距离火车站很近大约1.6公里，周边就餐、汽车站都很近，还有夜市。房间干净，应该是装修没多长时间。值夜服务生态度很好，服务到位。', '短评打分': 4}
{'短评内容': '设备陈旧，不过价格还行。。。。。，，，，，，', '短评打分': 5}
{'短评内容': '＋不错，性价比还可以！', '短评打分': 3}
{'短评内容': '酒店整体规模是可以的，内部卫生也还不错，就是房间内的设施有点陈旧，这个价格住在当地住这样的酒店还是有点不划算，同时我在前台办理入住的时候看见别人定的房间比我的便宜多了，我问前台前台告诉我我定的是刚装修的所以价格要贵一些。等住进房间才发现这前台真能忽悠人呀。', '短评打分': 1}
{'短评内容': '  入住酒店后  刮风窗户的风噪声大', '短评打分': 3}
{'短评内容': '酒店有点老了，正在装修中。希望装修完了之后，面貌能够焕然一新', '短评打分': 1}
{'短评内容': '是奎屯较有性价比的酒店，值得推荐，下次来了还住这里。', '短评打分': 5}
{'短评内容': '环境内部装修有点差', '短评打分': 3}
{'短评内容': '酒店不错，服务夜可以，餐厅也行，上次去很晚了，还热情服务，不错！', '短评打分': 5}
{'短评内容': '酒店服务员挺不错，房间也挺大，只是吧台单独核算，让顾客有点不方便。', '短评打分': 5}
{'短评内容': '  非常满意', '短评打分': 3}
{'短评内容': '只能说凑合，卫生条件一般，但比较闹市，上街方便，服务一般，这个价也就这个水平。', '短评打分': 5}
{'短评内容': '早餐品种要增加些，其他都还好，这次还会住东方', '短评打分': 5}
{'短评内容': '酒店服务、环境、设施、卫生太差。像个小旅社。', '短评打分': 1}
{'短评内容': '不错 半夜从布尔津到奎屯的班车才到 到的时候都凌晨4点了 还给我留了房间', '短评打分': 5}
{'短评内容': '这家酒店超出我的预期，在奎屯这个城市里应该算是不错的了，很安静，干净', '短评打分': 5}
{'短评内容': '比较老的酒店，晚上，酒店楼下有烧烤大排档，还不错！酒店不能刷预授，只能付现金押金！', '短评打分': 5}
{'短评内容': '酒店服务不错,房间卫生间有点小,隔音有点差。', '短评打分': 3}
