{'短评内容': '。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '环境很好  下次还回来的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '有个小的停车场', '短评打分': 3}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '卫生干净，下册还来', '短评打分': 5}
{'短评内容': '环境一般。', '短评打分': 4}
{'短评内容': '还可以，环境好，可以过来住下，感受下，说的再好，你不过来都是扯淡，反正我感觉可以！毕竟连锁德，！！！', '短评打分': 5}
{'短评内容': '酒店不错：地段不错，交通方便，前台人员热情，有求必应，房间环境卫生，用品备置齐全，如果下次出差此地，还会入住', '短评打分': 4}
{'短评内容': '总体感觉还不错，就是隔音效果好差、房间挺小，但是卫生间挺大', '短评打分': 4}
{'短评内容': '经常去 好', '短评打分': 5}
{'短评内容': '入住503', '短评打分': 4}
{'短评内容': '什么都好！', '短评打分': 4}
{'短评内容': '出差旅行必备', '短评打分': 4}
{'短评内容': '出差旅行，方便', '短评打分': 4}
{'短评内容': '最近都选择在这家酒店住，各方面都好，就是老入住的遇到价格飙升有点不爽，所以退房了。不过酒店前台的美女人真不错，看到我行李太多，主动帮忙送到路边等车。为了这个，果断又预订了！', '短评打分': 5}
{'短评内容': '还不错，干净卫生，服务不错，交通便利', '短评打分': 5}
{'短评内容': '还可以，还送早餐，挺干净的。比旁边的锦江之星好。', '短评打分': 5}
{'短评内容': '挺干净的。工作人员服务也好。喜欢。好像是开业没有一年，里面的东西也挺新的。舒适。', '短评打分': 5}
{'短评内容': '位置不错，挺安静的。而且也很干净。很是满意。', '短评打分': 5}
{'短评内容': '环境不错，交通便利', '短评打分': 3}
