{'短评内容': '很开心住这么好的房间。', '短评打分': 5}
{'短评内容': ' 老板人很好，来门口接我们还帮忙买票，但是卫生状况有待提高', '短评打分': 3}
{'短评内容': '相信京东一如继往，好好好！', '短评打分': 5}
{'短评内容': '老板人很好', '短评打分': 5}
{'短评内容': '住的单独一个小窝，很不错', '短评打分': 5}
{'短评内容': '房间还行，但公共区域几乎没有什么休闲设施', '短评打分': 4}
{'短评内容': '非常不满意，电视没用没有网络，下面还是鬼屋', '短评打分': 1}
{'短评内容': '地理位置后，出门就是大街上，里面设施一般', '短评打分': 4}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '房间干净，值得推荐，非常棒，特别棒，超级棒！', '短评打分': 3}
{'短评内容': '“河畔豪景”大床房！！！西塘的大门管理真心“到位” 保安“彪悍” 难忘！西塘的人头真心“火爆” 商品“繁多” 心累！\ue412\ue412西塘的住宿 价格霸气 网络图片真心“朦胧” 心伤！我只想说 到西塘玩 真心不能计较太多 将就！！！', '短评打分': 3}
{'短评内容': '“河畔豪景”大床房！！！西塘的大门管理真心“到位” 保安“彪悍” 难忘！西塘的人头真心“火爆” 商品“繁多” 心累！\ue412\ue412西塘的住宿 价格霸气 网络图片真心“朦胧” 心伤！我只想说 到西塘玩 真心不能计较太多 将就！！！', '短评打分': 3}
