{'短评内容': '前台挺负责 环境挺卫生', '短评打分': 4}
{'短评内容': '总体还可以', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '酒店位置还行，早餐不是很丰盛，不过10块出门可以了', '短评打分': 5}
{'短评内容': '一般般。。', '短评打分': 3}
{'短评内容': '还不错吧', '短评打分': 4}
{'短评内容': '不错  星级宾馆', '短评打分': 5}
{'短评内容': '服务周到  饭菜挺好吃', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '不错，环境很好，离海边很近。方便赶海', '短评打分': 5}
{'短评内容': '凑活事吧凑活事吧凑活事吧凑活事吧凑活事吧', '短评打分': 2}
{'短评内容': '位置不错，到景区很近的，离吃海鲜的店也不错', '短评打分': 5}
{'短评内容': '价格很便宜，周围环境很好，就是设备设施一般，服务一般', '短评打分': 4}
{'短评内容': '房间设施很老', '短评打分': 4}
{'短评内容': '老牌酒店，设施稍旧，服务很好', '短评打分': 5}
{'短评内容': '房间及设施老旧，典型的旅游团队入驻酒店，服务人员态度不是很好，餐厅人员态度较好，但厨师似乎只会做团队餐，单点质量太大众化！！', '短评打分': 1}
{'短评内容': '服务不错,房间干净,设施也可以。', '短评打分': 3}
{'短评内容': '装饰，卫生，都挺好的，就是隔音效果差了点，', '短评打分': 5}
{'短评内容': '还不错把，位置比较安静，离海也不远，前台服务态度很好', '短评打分': 5}
{'短评内容': '环境还可以 就是房间隔音差了一点  听隔壁说了大半宿的话  ', '短评打分': 5}
{'短评内容': '感觉很好啊，以后还会住的，要是有会员制度就更好了', '短评打分': 5}
{'短评内容': '环境不错服务员态度亲切', '短评打分': 3}
{'短评内容': '挺好。卫生整洁，环境优雅，交通便利，服务蛮好。挺温馨的！', '短评打分': 5}
{'短评内容': '还可以，就是设施陈旧了些，老店一样，          没别的了', '短评打分': 5}
{'短评内容': '酒店的基础设施还可以，也挺干净，工薪阶层住宿的首选。', '短评打分': 5}
{'短评内容': '硬件条件还可以。服务也不错。只是房间烟味太大。处理的不够好。', '短评打分': 5}
{'短评内容': '很暖和，也比较干净，就是灯光有点暗，还是会推荐的！性价比还不错', '短评打分': 5}
{'短评内容': '暖气比较好，隔音效果一般，希望可以改善。', '短评打分': 3}
{'短评内容': '酒店暖气不热，空调噪音比较大。其它方面都可以', '短评打分': 3}
{'短评内容': '不错，地点还是可以的，就是宾馆老了一点，陈设旧了一点。', '短评打分': 5}
{'短评内容': '交通还算便利，从机场坐大巴到烟台市区然后做公交过去，打车的话有点太贵了。周围吃饭的地方不太多。酒店本身不错，很干净，服务也好。', '短评打分': 5}
{'短评内容': '感觉还可以，就是早餐很不好，还很贵，周边没有吃饭的地方', '短评打分': 5}
