{'短评内容': '不错，房间大小可以，。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '额外收费项目太多，乱收费现象严重，其他还好达到预期。', '短评打分': 1}
{'短评内容': '房间挺好，价格实惠，就是位置有点偏，房间内收费项目太多，退房时毛巾脏了点也要赔钱，额外乱收费太多，不建议去住。', '短评打分': 1}
{'短评内容': '  隔音不好 其它很好 值得推荐', '短评打分': 3}
{'短评内容': '非常好的环境，就是早餐需要改善!', '短评打分': 3}
{'短评内容': '一家新酒店，环境和设施不错，值。', '短评打分': 3}
{'短评内容': '物有所值', '短评打分': 3}
{'短评内容': '房间很满意，就是位置有点偏。下次还会考虑入住。', '短评打分': 3}
{'短评内容': '环境很好，房间很干净，服务也不错。稍微一点遗憾是打车不太方便，如果有急事的朋友，要早点出来打车。', '短评打分': 5}
{'短评内容': '这家酒店非常不错 里面设施精良 装修非常不错 很适合去住宿 服务没的说  而且三楼的大师傅做的菜非常不错 也不贵 可以去试试  但就是地方有点儿偏僻  不过也还好了 ', '短评打分': 5}
{'短评内容': '很好很强大的一个酒店~~~性价比很高，设施很新', '短评打分': 5}
{'短评内容': '房间非常干净，而且房间很大，很档次，唯一就是这酒店是中央空调，现在的温度不是很高，有点冷，但能接受，我住的是商务房，室内的电脑是免费的是，而且上网速度非常快，推荐！！！', '短评打分': 5}
{'短评内容': '很好，很舒适就是吃饭不方便。以后出差还住这。\n\n', '短评打分': 5}
{'短评内容': '房门有个大挂钟，装修的很不错，值得一住。', '短评打分': 5}
