{'短评内容': '普通床位房', '短评打分': 5}
{'短评内容': '三人房网上订329元，实际前台只需要258元，多收中间差价哪去了。 十天前前台还说在网站退，就在刚刚电话过去还说在网站退。电话网站客服后，等网站客服电话去酒店，就变成了少收钱了。', '短评打分': 4}
{'短评内容': '地理位置是不错的，服务态度也可以，但卫生实在是差劲！！！', '短评打分': 3}
{'短评内容': '酒店卫生状况很差', '短评打分': 2}
{'短评内容': '就是房间小了点，别的还好！', '短评打分': 4}
{'短评内容': '位置不错，在市中心，积水潭和鼓楼之间。酒店本身不错，但多人间里住客素质堪忧，马桶用过了还不冲水、半夜还开着手机的声音看视频、完全不顾及他人，睡不安稳。', '短评打分': 4}
{'短评内容': '挺好的而且很快速就到了，很喜欢以后还回来', '短评打分': 5}
{'短评内容': '上下铺睡着挺好的，下铺睡两个大人加一个小孩有点挤，正常睡两个人的话不挤', '短评打分': 5}
{'短评内容': '남녀혼숙임. 결국 2인실로옮김. 정말추욺 정말 추월욯. 비추비추핵비추', '短评打分': 3}
{'短评内容': '交通方便性价比高很不错', '短评打分': 5}
{'短评内容': '交通便利，安静', '短评打分': 5}
{'短评内容': '交通便利，在后海什刹海附近，环境很好安静，推荐给大家', '短评打分': 5}
{'短评内容': '定的时候犹豫很多，看到很多人说不怎么样，前台不怎么样，阿姨不怎么样，可是我们这次来，我觉得还蛮好的，毕竟价格在那里，卫生还好，前台和阿姨都蛮好的，卫生间虽然小了点，不过我们住一晚，无所谓，离877路去八达岭的公交站特别近，第二天天去方便，周边吃的也多，想去后海看下', '短评打分': 4}
{'短评内容': '超喜欢 很干净 环境很好 前台服务态度超赞 强烈推荐', '短评打分': 5}
{'短评内容': '环境挺好的 喜欢这！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '非常棒', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
