{'短评内容': '干净舒适不错的体验', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '还不错床单有点痒', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '帮朋友定的，应该还好吧。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '啦啦啦啦啦啦啦啦啦啦啦啦', '短评打分': 5}
{'短评内容': '位置好，干净舒适，工作人员友好热情。安全，安静。', '短评打分': 5}
{'短评内容': '位置很棒，离附二很近，卫生空间都不错', '短评打分': 4}
{'短评内容': '还可以，用券乐比会员还便宜', '短评打分': 5}
{'短评内容': '这是我N次住进这家酒店了，设施，服务都令人满意。有点缺憾的是酒店没车场。把车寄存在对面停车场。一天下来，最少要六，七十元停车费。呵呵，这次我花了120元的停车费。住不起啊！！！', '短评打分': 5}
{'短评内容': '一般还行，方便', '短评打分': 4}
{'短评内容': '美好回忆在这里', '短评打分': 5}
{'短评内容': '酒店管理很好，环境不错', '短评打分': 5}
{'短评内容': '出差一直住的地方，都还一般……', '短评打分': 3}
{'短评内容': '酒店闹中取静，房间干净整洁。距离我要办事的地方位置方便。有停车位，不错的酒店！', '短评打分': 5}
{'短评内容': '性价比超高，到儿童医院和附二医院看病方便！', '短评打分': 4}
{'短评内容': '一般环境', '短评打分': 4}
{'短评内容': '一般，厕所很脏', '短评打分': 1}
{'短评内容': '周边交通，吃饭挺方便', '短评打分': 4}
{'短评内容': '位置不错，交通方便，性价比也蛮高，前台有美女哦~~~', '短评打分': 5}
{'短评内容': '总体可以,但有点儿小贵.如果150元那就超棒了.', '短评打分': 5}
{'短评内容': '隔音效果不太好，房间布局感觉怪怪的。总之性价比不高', '短评打分': 1}
{'短评内容': '房间还可以！', '短评打分': 3}
{'短评内容': '十很方便快捷', '短评打分': 3}
{'短评内容': '房间不错，卫生也挺好的。            不过前台服务不怎么好。', '短评打分': 5}
{'短评内容': '酒店挺安静的，交通很方便 。离火车站，步行街都很方便，卫生也不错，酒店挺安全。但是能不能没有小名片从门缝下塞啊', '短评打分': 5}
{'短评内容': '我到酒店时间是晚上7点50，到前台去问我的预定，说还剩最后一间，我要看下房，等我看玩房，前台说被别人定了，我说我又没说不定和退房，为什么在我看房的时候说没了，后来前台说再帮我看看，说还剩一间，真是晕', '短评打分': 5}
{'短评内容': '住着很舒适，很好，方便，汉庭的服务和设施很满意\n', '短评打分': 5}
{'短评内容': '除了房间小一点，其他还是很满意的。服务员彬彬有礼，房间的设施充分很人性化，总体不错', '短评打分': 5}
{'短评内容': '听方便的，希望能有更多的优惠，连续入住的顾客能有更多的活动。', '短评打分': 5}
{'短评内容': '总体来说还是不错的，房间稍小，但设施该有的基本都有，谢谢酒店的服务', '短评打分': 5}
{'短评内容': '酒店对面有停车场\n住酒店,最在意的是床和坐便器的卫生.\n床还是不错,但是坐便器估计就么打扫,上面还有污渍,带着娃,算了,我自己搞得\n唉 ', '短评打分': 1}
{'短评内容': '位置很安静，价格便宜，装修比较新，就是入睡外晚了，那天床单有狐臭，不高兴叫服务员换了。', '短评打分': 5}
