{'短评内容': '环境优美，安静整洁，美中不足，一次性用品全部收费', '短评打分': 5}
{'短评内容': '网络太差，经常断，晚上就基本断线状态，电视也没有几个频道，泪奔', '短评打分': 3}
{'短评内容': '热水一般', '短评打分': 5}
{'短评内容': '早餐品种多，还不错。是否加床，可与酒店商量吧！房间比较宽敞，带孩子没有问题。酒店位置稍微有点偏，吃饭购物不方便。有停车场。', '短评打分': 4}
{'短评内容': '将就住吧，一次性物品都是要钱的，早餐很差', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '整体还行', '短评打分': 4}
{'短评内容': '整体还行', '短评打分': 4}
{'短评内容': '来工业园办事，没得选，入住这家酒店。', '短评打分': 4}
{'短评内容': '酒店设施老化严重，灯光昏暗，空调效果太差，蚊虫咬人，实在不值这个价格！', '短评打分': 2}
{'短评内容': '很不错很不错很不错很不错很不错很不错很不错很不错', '短评打分': 5}
{'短评内容': '在浏阳开发区，酒店算好的了，到长沙的交通车就再酒店前的马路旁很方便，早餐一般。', '短评打分': 4}
{'短评内容': '旧', '短评打分': 4}
{'短评内容': '出差没得选择，附近最好的酒店', '短评打分': 4}
{'短评内容': '出差没得选择，附近最好的酒店', '短评打分': 4}
