{'短评内容': '烟台开发区欧豪的酒店', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '这家相当不错，旺季来的，价位还可以，还会再来。', '短评打分': 5}
{'短评内容': '已入住，还不错，订的比较及时，不然就要另找他店了\n', '短评打分': 5}
{'短评内容': '酒店的设施比较陈旧。可能装修风格不适合我吧。墙面也不太干净。', '短评打分': 1}
{'短评内容': '还可以，安静、干净，就是装修有些旧。', '短评打分': 3}
{'短评内容': '从火车站坐9路车可以很方便的到达，外观看起来不错，但入住的房间非常小，木地板很多处都破了，衣橱立在那里摇摇晃晃的。整个房间除了卫生间和衣橱，大床的周围可以容一人走动。在卫生间里洗澡，水可以渗到房间里。总体来说，设施比较陈旧。说是可以上网，多次尝试后，被告之Win7系统的电脑上不了。电视只能收部分卫视的节目。不知是不是因为网上预订的所以这样。', '短评打分': 1}
{'短评内容': ' 干净卫生 不错', '短评打分': 3}
{'短评内容': '已如住感觉不错', '短评打分': 3}
{'短评内容': '室内墙上有大片的水迹，是从卫生间漏过来的，半面墙湿湖湖的。', '短评打分': 1}
{'短评内容': '前台人员，太不责任了。车停了停车位上，结果被一辆越野车挡住了，出不来。前台人员说，停车场是公共的，她们没法找车的主人。再三交涉才查看监控，结果就是在这个酒店住的人，耽误了一下午的行程。', '短评打分': 1}
{'短评内容': '卫生、服务好态度好，环境好，离火车站、鲁东大学近', '短评打分': 5}
{'短评内容': '那天一帮朋友来烟台玩，安排到了这个酒店，朋友普遍反应都比较好，因此好评一下', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '前台接待没有笑容,房间设备比较陈旧,九点就没有早餐了,门口很乱,不过离机场很近.', '短评打分': 1}
{'短评内容': '离我要去的地方挺近的，条件还行吧，隔音差点。', '短评打分': 5}
{'短评内容': '是帮朋友订的，听说隔音效果挺差的，吵到他休息了，其他还好。', '短评打分': 5}
{'短评内容': '当时周围在修路，酒店的霓虹灯也没亮，找了有一会，不过价格还是挺便宜的，就是装修的风格有点老气，不是喜欢的类型', '短评打分': 5}
{'短评内容': '经济型酒店，价位还算合理，就是服务一般！有待提高~', '短评打分': 5}
{'短评内容': '性价比高， 还挺干净，就是装修和家具颜色偏深，感觉有点老气！', '短评打分': 5}
{'短评内容': '总体不错，酒店设施还好，前台工作人员包括值班经理素质有待提高，部分人员面无表情，不知道主动问好，业务不熟练。虽然是加盟店也要多对人员进行培训。不然过了假期能有多少回头客呢。', '短评打分': 3}
