{'短评内容': '老了点，环境不错，方便。', '短评打分': 4}
{'短评内容': '离广州塔挺近的，门边有公交车站，很方便', '短评打分': 5}
{'短评内容': '还好吧。谢谢', '短评打分': 5}
{'短评内容': '服务一般，其他还好', '短评打分': 4}
{'短评内容': '总体还可以，只是有蟑螂……', '短评打分': 4}
{'短评内容': '下次不会选择去那里住，一楼应该是酒店前台，不太清楚真奔一楼前台查到定房信息被提醒是六楼，6楼前台服务太度差带眼镜的（退房那位好），卫生间窗帘能从外面看到里面设施一般，周边刚好碰到在修路环境不好。', '短评打分': 2}
{'短评内容': '很好哈哈，下次再去，希望更好的感受，广州真是个好地方哈哈?', '短评打分': 5}
{'短评内容': '很好哈哈，下次再去，希望更好的感受，广州真是个好地方哈哈?', '短评打分': 5}
{'短评内容': '舒适，挺宽敞的', '短评打分': 5}
{'短评内容': '一直住这里，唯一的缺点就是机场大巴不经过，其他都是ok的，可以看小蛮腰', '短评打分': 4}
{'短评内容': '很舒服，多次入住，价格也适合，老品牌值得信赖', '短评打分': 4}
{'短评内容': '酒店老牌子了，入住也很舒服，没有什么不和谐的地方，舒服！', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '是个公寓式的，还算干净，设备有些老旧，洗浴用品也不好，服务前台在6楼，不好找', '短评打分': 4}
{'短评内容': '小蛮腰就在边上，景观不错。', '短评打分': 4}
{'短评内容': '感觉很一般，没有描述的那么好', '短评打分': 3}
{'短评内容': '一般般 还可以吧，过得去而已', '短评打分': 4}
{'短评内容': '环境挺好的。可以看到广州塔。美美嗒。房间设施好齐全。', '短评打分': 5}
{'短评内容': '公寓式的酒店，交通比较方便，管理比较一般。停车费用较好，住一晚停车费80多', '短评打分': 3}
{'短评内容': '一如既往的好！还免费升级到最高级的套房，景色尽收~', '短评打分': 5}
{'短评内容': '濒临珠江，酒店闹中取静，环境挺好。床铺宽大舒适。', '短评打分': 3}
{'短评内容': '非常好有江景非常好有江景非常好有江景', '短评打分': 3}
{'短评内容': '这家酒店地理位置方便，关键是近我家，用来招呼朋友最合适', '短评打分': 5}
{'短评内容': '洗衣机、冰箱、微波炉和厨房一应俱全，很适合家庭居住。\n每间房间配备一台燃气热水器（很安全，放在小阳台上），所以随时都有热水\n唯一美中不足的就是卧室的床有些硬。', '短评打分': 5}
{'短评内容': '挺干净的，非常值，而且比较高档', '短评打分': 3}
{'短评内容': '位置不错，面向海心塔，很不错的说\n\n电气设备 一应俱全', '短评打分': 5}
{'短评内容': '距离机场挺近的。我朋友她们入住的。没有说不好。', '短评打分': 5}
{'短评内容': '酒店的设备很新，景观能远眺广州塔和珠江，不错。 到广州塔的直线距离近，但是走路就不近。交通出行方面，比较容易去到天河区和洛溪大桥那边，其他地方不是太好。\n建议带上沐浴露和洗发水。拖鞋很好。\n可以稍微煮食，但是不能炒菜。有洗衣机，方便长住。', '短评打分': 5}
{'短评内容': '和以前相比，接待有改进，其他如前！建议加送早餐，可以适当收费', '短评打分': 5}
{'短评内容': '服务人员很热情老朋友一样 让人很有归宿感 房间也不错 宽敞明亮', '短评打分': 3}
