{'短评内容': '下次公司出差还是会考虑首选，总体还不错', '短评打分': 5}
{'短评内容': '总体还不错，有机会再过去', '短评打分': 5}
{'短评内容': '总体还不错', '短评打分': 5}
{'短评内容': '总体还不错', '短评打分': 5}
{'短评内容': '不能加床 有停车场', '短评打分': 5}
{'短评内容': '房间干净卫生，早餐很不错', '短评打分': 5}
{'短评内容': '房间干净卫生，早餐很不错', '短评打分': 5}
{'短评内容': '就是有点小', '短评打分': 5}
{'短评内容': '位置好找，不错', '短评打分': 5}
{'短评内容': '环境还可以干净', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 4}
{'短评内容': '到的很晚给了个靠街的房，有点吵，但整体感觉还是挺干净的', '短评打分': 4}
{'短评内容': '老店了，整体还行，房间偏小', '短评打分': 3}
{'短评内容': '挺好的，很干净', '短评打分': 5}
{'短评内容': '价格波动太大一般般客房', '短评打分': 3}
{'短评内容': '吃饭就在楼下吃，也方便，周边配套还差点，走一截可以满足需求，价格便宜，要求不高可以入住    房间设施一般，很不干净，准备打电话给前台，蓦然发现话筒上一堆烟灰。。。恶心到了！！！！！！！！！    绝对不推荐', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好好好好。。。。。。。。。', '短评打分': 3}
{'短评内容': '酒店位置不错，房间也还行，就是早餐相对单一了点，值得推荐！', '短评打分': 4}
{'短评内容': '酒店位置不错，房间也还行，就是早餐相对单一了点，值得推荐！', '短评打分': 4}
{'短评内容': '感觉还不错的一次住宿', '短评打分': 4}
{'短评内容': '环境一般，早餐很差，房间也没有可以推荐的，只是离汽配城近一点。', '短评打分': 1}
{'短评内容': '好，每次都住这里', '短评打分': 3}
{'短评内容': '还是一如既往，服务热情，房间不错，交通不错', '短评打分': 3}
{'短评内容': '房间味道很浓，柜子啊床啊有点老化了，感觉房间不是很整洁，不太符合艳阳天的感觉，需要更新了。', '短评打分': 1}
{'短评内容': '交通很便利，服务也很好', '短评打分': 3}
{'短评内容': '这家店价格很实惠，交通也很方便，下次还会来入住！', '短评打分': 5}
{'短评内容': '整体感觉还不错，早餐也很丰富，下次还会考虑入住！', '短评打分': 5}
{'短评内容': '房间还不错，到店看到有129元大床房，便宜啊，果断办理入住，但前台建议我选择商务房，还是坚持选择入住129元大床房，进去后后悔没听前台MM的建议，果断换房。再次麻烦前台MM给我换房。商务房宽敞多了，楼下的餐厅也还不错。下次还会入住', '短评打分': 5}
{'短评内容': '挺干净的，就是晚上很吵，不知道是个什么情况，大半夜的，开始还以为天亮了呢，一看表才凌晨三点多。', '短评打分': 5}
{'短评内容': '别的不说，做生意讲的是诚信，总不至于人家在网上订了，结果瞧着发当天生意好，就见风涨价，我第一次碰到，而且还十二点退房，现在好多酒店都改成两点了，也该跟上时代脚步了', '短评打分': 1}
{'短评内容': '参加公务员考试，第一次来武汉。到前台被告知考试当天房费上涨30，头一回遇见这种事，最重要的是房间没窗户，密封的那叫一个严啊，空调开了一天就下降了一度，早上起来头昏脑胀的，再住下去严重影响考试状态，第二天果断换地方，都把人当成傻子明着挨你们的宰吗？', '短评打分': 3}
{'短评内容': '整体比较干净，服务态度比较好，含早餐，但是房间只有网线，没有电脑，所以想上网的朋友还得自带笔记本，这点做的不是很到位', '短评打分': 5}
{'短评内容': '环境还不错，干净，舒适。地理位置也不错，坐车方便', '短评打分': 5}
{'短评内容': '除了空气质量差，没有窗户，服务还好，还有各种用品都挺齐全的，交通方便', '短评打分': 5}
{'短评内容': '干净、整洁、服务热情，房间稍小，交通还是比较方便，靠近轻轨，楼下就是饭店，菜品不错！上网速度较快，液晶电视，洗漱用品也还不错，整体良好', '短评打分': 5}
{'短评内容': '服务非常周到，吃住一体化建设也非常优秀，住宿期间感受到家的感觉。', '短评打分': 5}
{'短评内容': '这个酒店环境还不错，条件也还可以，位置也不错，很方便', '短评打分': 5}
{'短评内容': '不错~服务很好~很是满意呢~很好的态度，值得信赖', '短评打分': 5}
{'短评内容': '经济型，关键是价格合理。服务态度一般，早餐不行', '短评打分': 5}
{'短评内容': '去机场的旅客比较实惠和方便。 卫生还好。 ', '短评打分': 5}
{'短评内容': '房间太小太旧了，价格一般，餐厅吃的东西也不好，还不如住其他连锁经济酒店', '短评打分': 1}
{'短评内容': '酒店附近有公交站和轻轨站，酒店内条件还可以，不过洗澡水太小了！美中不足啊', '短评打分': 5}
{'短评内容': '经常住的位置，以后还会经常来的！就是没有窗子，可能有点闷人！', '短评打分': 5}
{'短评内容': '麻雀虽小伍脏具全,有卫生间,没窗户', '短评打分': 3}
{'短评内容': '酒店还可以，房间卫生一般，去太平洋办事很方便！', '短评打分': 5}
{'短评内容': '由于最近工作位置，还是会选该酒店的。\n\n但是前台的工作效率很一般。', '短评打分': 5}
{'短评内容': '酒店很不错，每次来都会选择住在这里，服务也很不错。。。', '短评打分': 5}
{'短评内容': '由于工作关系，在附件性价比还是较高的酒店。推荐入住。', '短评打分': 5}
{'短评内容': '还行，经济型酒店。\n由于工作关系，以后还住。', '短评打分': 5}
{'短评内容': '不错的酒店，以前经常来，以后还会经常来的！', '短评打分': 5}
{'短评内容': '不错，很好，每次回武汉都住这里。价格也不贵，服务挺好的。', '短评打分': 5}
{'短评内容': '酒店比较好找，就在路边，室内卫生还行，服务因为去的晚走的早没怎么享受到，嘿嘿', '短评打分': 5}
{'短评内容': '房间虽小了点但是感觉很好，推荐入住。楼层服务也好。', '短评打分': 5}
{'短评内容': '太平洋附近的好选择！单人房没有窗户的，但如果只是睡觉应该没有问题的。楼下的餐厅很多人吃饭，方便，但味道也一般。', '短评打分': 5}
{'短评内容': '9服务态度不错，交通比较便利，房间比较整洁，但大床房有点小～', '短评打分': 3}
{'短评内容': '交通便利，房间干净，热水充足，空调暖和，就是很多房间没有窗户，性价比很好', '短评打分': 5}
{'短评内容': '酒店虽小,但设施齐全,很干净,楼下餐厅也不错', '短评打分': 3}
{'短评内容': ',住宿还好,', '短评打分': 3}
{'短评内容': '还行，就是电话线和网线接头有问题', '短评打分': 3}
{'短评内容': '价格便宜，吃很方便，交通方便，上次住的房间没有窗户有点闷', '短评打分': 5}
{'短评内容': '隔音效果不好，太吵了，不过服务可以，房间偏小', '短评打分': 5}
{'短评内容': '墙和地板都有点旧，其他还好。我定的是无窗的，冬天进去很闷热，睡觉的时候有点热的受不了，开空调制冷都没用。不过我看朋友住的有窗的，还可以，推荐住有窗的。', '短评打分': 5}
{'短评内容': '酒店还不错，挺精致小巧的房间，看着蛮舒服。', '短评打分': 3}
{'短评内容': '还满不错的 虽然没有窗户 但通风不错 \n缺点是 太不隔音了 还有 电视居然不是数字的 很多频道没有 还说星期六看看江苏卫视的 一看 发现没有 小郁闷了下', '短评打分': 5}
{'短评内容': '这次订的商务大床房还不错，不是第一次住这里了，挺干净的，设施也不错。', '短评打分': 5}
