{'短评内容': '很安静。', '短评打分': 5}
{'短评内容': '设施有点旧，隔音效果差。', '短评打分': 3}
{'短评内容': '酒店在西四环，离地铁口很近，出行很方便，早餐还可以，适合带孩子住宿，因为是在丰台体育场里面，停车非常方便', '短评打分': 5}
{'短评内容': '一般。', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '房间环境挺好，服务挺好，价格挺实惠。', '短评打分': 5}
{'短评内容': '80年代宾馆', '短评打分': 1}
{'短评内容': '挺好的，但是无窗有点压抑', '短评打分': 5}
{'短评内容': '性价比不错，服务很到位，增值税专用发票很快就寄过来了，赞一个！', '短评打分': 5}
{'短评内容': '环境很一般，设施也简陋，完全不是网上标注的三星级酒店！不过服务很贴心，性价比在北京城也算很不错的了，增值税专用发票很快就给我寄来了，赞一个！', '短评打分': 5}
{'短评内容': 'The hotel was clean and comfortable quiet, sound insulation effect is good, the service is also very good, Ctrip.', '短评打分': 5}
{'短评内容': '环境还不错，，，，', '短评打分': 5}
{'短评内容': '还不错，位置很近', '短评打分': 5}
{'短评内容': '房间陈旧通风不好，不建议入住', '短评打分': 3}
{'短评内容': '丰台体育馆开会住了一晚，房间超级次，你就想吧！', '短评打分': 3}
{'短评内容': ' 房间很卫生，舒适，热水空调都给力。', '短评打分': 3}
{'短评内容': '新装修的，很干净，套间不错，我是用做结婚接新娘的。价格很实惠。', '短评打分': 5}
{'短评内容': '优点：干净，缺点：隔音差', '短评打分': 3}
{'短评内容': '因在丰台,位置偏,酒店有点简陋，微冷,空调很特别，2档热4档冷,呵呵', '短评打分': 3}
{'短评内容': '特价间的房间太小 卫生间味道大 真心受不了 所以住了一晚就结账了 主要就是离办事的地方近 要不还真不住了 另外就是不理解房间里的消费矿泉水啊什么的 居然不给开发票&hellip;&hellip;真心无语！', '短评打分': 3}
