{'短评内容': '酒店位于沙面，早上空气好！', '短评打分': 4}
{'短评内容': '在沙面的一家老酒店，招待所设施，最大问题是房间紧邻武警部队，早上6点起床哨开始训练，晚上也训练，一天几次训练，非常影响休息。还碰上晚上武警官兵露天烧烤晚会，烧烤味满屋都是，唱歌持续到晚上9点多，音量非常大，吵得电视都看不了。要求换房也换不了，退房也不行，说等到晚上十点后就可以了……除非完全不怕吵，否则真别住这里', '短评打分': 2}
{'短评内容': '无早餐、适合带孩子，在沙面岛上，公共交通方便，但停车不方便', '短评打分': 5}
{'短评内容': '感觉还行，有点旧，但还会住', '短评打分': 5}
{'短评内容': '位置没的说，就是有点旧。离上下九很近，离西堤码头很近，反正总体来说位置还是很关键啊。设施其次了吧！！！', '短评打分': 4}
{'短评内容': '沙面岛上，性价比高，周围环境不错', '短评打分': 4}
{'短评内容': '外面环境不错但是里面就比较差', '短评打分': 3}
{'短评内容': 'Good hotel for stay on Shamian.', '短评打分': 5}
{'短评内容': 'Cheapest way to stay at Shamian.', '短评打分': 5}
{'短评内容': '两次去了非常好', '短评打分': 5}
{'短评内容': '环境不友好型。', '短评打分': 2}
{'短评内容': '地址绝佳呀，有一整个部队保护着安全绝对有保障啊，就是早上会有操练会影响睡眠。其余的都还行吧！', '短评打分': 5}
{'短评内容': '地理位置不错', '短评打分': 3}
{'短评内容': '周边环境一流，地理位置没得说，酒店设施较陈旧', '短评打分': 4}
{'短评内容': '很幽静，好地方！', '短评打分': 5}
{'短评内容': '设施比较陈旧，其他还行吧！一般', '短评打分': 4}
{'短评内容': '侨胞宾馆地点好，在沙面岛上，南北都是珠江。环境不错，建筑物年代较久，有殖民地风格。很多200-300年的大樟树，很漂亮。服务比较好，虽房间小些（我们住的是标双房，在付楼），但很干净、设施较新，安静。美中不足的是因房间小没有衣柜。', '短评打分': 5}
{'短评内容': '房间很干净,位置很好。下次来广州还住这里。', '短评打分': 3}
{'短评内容': '酒店标准是没有空调的。所以不怎么推荐。如果个人不建议的话。', '短评打分': 1}
{'短评内容': '不好，价格太贵，洗澡的水根本不热，没有吃早餐的地方，下次不会入住！', '短评打分': 1}
{'短评内容': '我觉得不错。如果是要在沙面办事的话，住在这还是比较方便的。热水什么的都还行，服务员态度也很好，就是地毯看起来不怎么新，显旧。', '短评打分': 5}
{'短评内容': '房间有点小，热水不够热', '短评打分': 3}
{'短评内容': '周边及酒店环境不错，对于酒店内任何餐饮消费，应适当添加', '短评打分': 5}
