{'短评内容': '房间真的超级小超级小超级小。', '短评打分': 4}
{'短评内容': '除了房间小了点，其他挺好，去办事的地方又近，离坐直通巴士、地铁口也不远，比较方便，下次再去，也会考虑住这里的！', '短评打分': 4}
{'短评内容': '房间小，但前台接待很热情，周围吃饭方便，地铁不远', '短评打分': 5}
{'短评内容': '这个价格很超值 在九龙尖沙咀附近，位置好 小但是很干净， 洗刷用品很齐全，也有吹风机，Wifi的，质量也都很好。', '短评打分': 5}
{'短评内容': '还可以吧，就是有点小', '短评打分': 5}
{'短评内容': '价位很实惠，地方很新很干净，服务太度很好，离地铁也不算远', '短评打分': 5}
{'短评内容': '实在是太小太小了，小的怀疑人生', '短评打分': 5}
{'短评内容': '准确性高，各方服务也比较到位，赞', '短评打分': 5}
{'短评内容': '真的是Mini房、袖珍房間！香港真的是寸士寸金！', '短评打分': 5}
{'短评内容': '酒店位置处于尖沙咀附近，酒店还算性价比比较高，内地的去可能会觉得房间小，不过香港这个区域还算是良心的了', '短评打分': 5}
{'短评内容': '地方还算干净，空间在香港算可以了', '短评打分': 5}
{'短评内容': '好好的，是我朋友住的，我不知道如何', '短评打分': 5}
{'短评内容': '不错不错！！！！！！！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '地點好，服務好，地點好，服務好。地點好，服務好，地點好，服務好。地點好，服務好，地點好，服務好。地點好，服務好，地點好，服務好。地點好，服務好，地點好，服務好。地點好，服務好，地點好，服務好。', '短评打分': 5}
{'短评内容': '还不错，棒棒棒', '短评打分': 5}
{'短评内容': '不错，还可以哦', '短评打分': 5}
{'短评内容': '地點好，服務好，地點好，服務好。地點好，服務好，地點好，服務好。地點好，服務好，地點好，服務好。地點好，服務好，地點好，服務好。地點好，服務好，地點好，服務好。地點好，服務好，地點好，服務好。', '短评打分': 5}
{'短评内容': '房间各方面还可以', '短评打分': 5}
{'短评内容': '地點好，服務好，地點好，服務好。地點好，服務好，地點好，服務好。地點好，服務好，地點好，服務好。地點好，服務好，地點好，服務好。地點好，服務好，地點好，服務好。地點好，服務好，地點好，服務好。', '短评打分': 5}
{'短评内容': '我儿子不是很满意，不能大展拳脚。', '短评打分': 3}
{'短评内容': '服务不错～', '短评打分': 5}
{'短评内容': '每次都选择住这里，喜欢', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '出行方便 性价比高 来了好多次了', '短评打分': 5}
{'短评内容': '很好，很好', '短评打分': 5}
{'短评内容': '除了离地铁站远一点，其他都没什么缺点了。而且在京东上第一次订酒店，价钱很划算。还是港币的价格。', '短评打分': 4}
