{'短评内容': '服务态度很好卫生好', '短评打分': 5}
{'短评内容': '非常感谢她们的服务', '短评打分': 5}
{'短评内容': '很喜欢这个酒店', '短评打分': 5}
{'短评内容': '前台服务非常好，很感谢她们帮我解决问题。', '短评打分': 5}
{'短评内容': '挺喜欢住这里，卫生好，服务态度很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '以前住过，还是老感觉，便宜，设施比较旧，空调不错！！为什么有字数要求呢？吃饭不是很方便，附近娱乐比较少！', '短评打分': 4}
{'短评内容': '不错。挺干净。', '短评打分': 5}
{'短评内容': '房间还算干净，但是没有电梯，后期建议选低层楼层，服务态度不怎么好', '短评打分': 4}
{'短评内容': 'KTV图T1临时预订的房间，也是感觉干净卫生，经理也特别的热情，环境很是高大上的，选择真是太正确啦！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '简直稀烂  环境太不好了吧  床单都是破的  居然还有蚊子  也是醉了  应该不会再去了', '短评打分': 3}
{'短评内容': '近市中心，交通方便，适合逛街，总的来说性价比高', '短评打分': 5}
{'短评内容': '一楼有点吵，卫生服务只能说是一般', '短评打分': 4}
{'短评内容': '给我的感觉就是很古代的样子。', '短评打分': 4}
{'短评内容': '环境不太好，需要改善', '短评打分': 3}
