{'短评内容': '早餐还可以有停车场，位置可以', '短评打分': 5}
{'短评内容': '满意，房间干净', '短评打分': 5}
{'短评内容': '反正就是好吧。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '有停车场', '短评打分': 5}
{'短评内容': '连续住了5天，很方便，服务很好！', '短评打分': 5}
{'短评内容': '连续住了5天，很方便，服务很好！', '短评打分': 5}
{'短评内容': '位置挺好', '短评打分': 4}
{'短评内容': '牙刷等梳洗用具要另外收费，不方便', '短评打分': 4}
{'短评内容': '卫生挺好，房间宽敞，有吃饭的餐厅', '短评打分': 5}
{'短评内容': '价格偏高', '短评打分': 5}
{'短评内容': '牙刷、一次性拖鞋都要另外收費！', '短评打分': 4}
{'短评内容': '性价比挺好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '都不错', '短评打分': 5}
{'短评内容': '满意       满意', '短评打分': 4}
{'短评内容': '离公司近，出差选择', '短评打分': 4}
{'短评内容': '离公司近，出差选择', '短评打分': 4}
{'短评内容': '环境不错。价格有点高，一次性拖鞋收费，且不说明', '短评打分': 4}
{'短评内容': '性价比比较高，但是随着时间久了，开始有点陈旧，特别是地毯那块', '短评打分': 5}
{'短评内容': '床挺大的，挺干净，牙刷拖鞋多要自备 跟保利水城很近，走路10分钟就可以了！', '短评打分': 5}
{'短评内容': '真正十足的三星级。很好！！！。就是一次性洗刷用品要收费。8元也能承受。', '短评打分': 5}
{'短评内容': '酒店总体来讲还是不错的，性价比较高，早餐一般', '短评打分': 5}
{'短评内容': '酒店总体来讲还是不错的，性价比较高，早餐不错', '短评打分': 5}
{'短评内容': '设施开始有点陈旧，但是对于这个价格，在桂城还是物有所值的。', '短评打分': 5}
{'短评内容': '酒店开业有好几年了，一直住，维护慢慢有点跟不上，设施开始陈旧，包括地毯，沙发之类，但是对于这个价格还是比较划算的。', '短评打分': 5}
{'短评内容': '酒店比较好找，从白云机场大概50分钟就到', '短评打分': 3}
{'短评内容': '客房干净,卫生,前台服务热情!\n美中也有不足,希望酒店管理能看到并加以改进:\n1,水果是送了苹果,咬了一口下,就看到果肉里面发黑了,应该是不新鲜了;\n2,晚上都快9点了,客房走廊送水果的男生推着水果车轰隆而过,我想一定把周遭的客人都吓着了;\n3,还是老生旧谈,出门的客人,谁带着拖鞋牙膏呢?确实我们很不方便!\n不过.其他方面还是不错的,下次还会住这家酒店的!', '短评打分': 5}
{'短评内容': '酒店再千灯湖附近  晚上景色很美  房间很漂亮 服务也好  很满意', '短评打分': 3}
{'短评内容': '房間~服務都還不錯~是很值得的住宿選擇~', '短评打分': 5}
{'短评内容': '不错阿！下次继续来。不过酒店的灯光有点不够好！', '短评打分': 5}
{'短评内容': '不错阿。不过订的348怎么是给的398', '短评打分': 3}
{'短评内容': '什么都好，就是地毯黑了，显得有点脏，\n。', '短评打分': 5}
{'短评内容': '酒店设施一流，环境好，交通也便利，只是自助早餐的品种太少。', '短评打分': 5}
{'短评内容': '性价比高,普通豪华房可能有点残旧了，但是其他高级豪华，商务房都是非常好', '短评打分': 5}
{'短评内容': '干净整洁，必要用品完备，性价比高，值得入住。', '短评打分': 5}
{'短评内容': '非常好的酒店，服务好，早餐也不错，下次来还会住这里。', '短评打分': 5}
{'短评内容': '酒店硬件设施还行，不过地毯感觉很脏，一次性用品均收费，不贴心，商务房318消费性价比不高！', '短评打分': 3}
{'短评内容': '帮朋友订了豪华房，朋友说房间挺大，不错。', '短评打分': 5}
{'短评内容': '1.400左右住公寓间。性价比还可以\n2.干净\n3.早餐可口。', '短评打分': 5}
{'短评内容': '酒店干净,注重环保,因此一次性的牙刷必须收费,没有经历这种经验的人会不习惯\n', '短评打分': 5}
{'短评内容': '设施，服务说的过去，只是趁环保题材，趁火打劫，方便牙膏卖5元，方便拖鞋卖10元，为了增加点收入，损害自己的名声，令客人很不舒服！\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '很不错满意', '短评打分': 3}
{'短评内容': '酒店还可以，交通方便，卫生，餐厅味道也还不错，下次还会来住', '短评打分': 5}
{'短评内容': '服务越来越糟糕，早餐不好；但，硬件不错！', '短评打分': 5}
{'短评内容': '房间里有使用电视的电脑，感觉不错！距离我要去的地方很方便。', '短评打分': 5}
{'短评内容': '设施，服务说的过去，只是趁环保题材，趁火打劫，方便牙膏卖5元，方便拖鞋卖10元，为了增加点收入，损害自己的名声，令客人很不舒服！', '短评打分': 1}
{'短评内容': '百盛达内装简明也舒适,但连香皂牙刷拖鞋沐浴露都不是免费提供的,这让消费者不太好接受!可能是新装修缘故,木料的味道也大.', '短评打分': 5}
{'短评内容': '住得很舒服.但是这个月开始不再提供一次性用品,连拖鞋也不提供.全部需要收费.洗刷用品 两双拖鞋需要收费50元,太贵了.再来的话需要自备,但建议提供拖鞋,因为不可能出外还带着拖鞋吧?', '短评打分': 5}
{'短评内容': '服务很到位,酒店设施温馨,早餐能满足各方需求', '短评打分': 5}
{'短评内容': '酒店的卫生很好，房间既整洁又干净。标准配置档次高。', '短评打分': 5}
{'短评内容': '环境不错很干净，性格比高。', '短评打分': 5}
{'短评内容': '帮朋友订的，朋友说还可以！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '百盛达这家酒店性价比很高，房间配置标准很高，管理服务也很好。位置也非常方便。', '短评打分': 5}
{'短评内容': '酒店比较新，房间面积也很宽敞，舒适度非常好。', '短评打分': 5}
{'短评内容': '酒店的服务蛮好的，有星级酒店的服务标准，环境设施也都很达标。', '短评打分': 5}
{'短评内容': '酒店的设施配置都比较新，大堂装饰的也很豪华。', '短评打分': 5}
{'短评内容': '性价比蛮高的酒店，交通方便，设施齐全完善，服务很好，物超所值', '短评打分': 5}
{'短评内容': '设施齐全，房间里可以宽带上网，而且隔音效果特别好 ，也没骚扰电话。', '短评打分': 5}
{'短评内容': '地理位置不错，交通方便，打车或者做公交都很可以，而且附近购物，逛街都不错。', '短评打分': 5}
{'短评内容': '装修的比较简约的风格，床的软硬程度特别合适，睡得很舒服，适合商务出差人士。', '短评打分': 5}
{'短评内容': '卫生设施还不错，价格也挺好的，出行都很方便，还是挺不错的酒店。', '短评打分': 5}
{'短评内容': '卫生设施还不错，价格也挺好的，出行都很方便，还是挺不错的酒店。', '短评打分': 5}
{'短评内容': '很不错的一家酒店，值得推荐。早餐可以，服务很好，规范。', '短评打分': 5}
