{'descr': '挺不错的', 'star': 5}
{'descr': '都挺好的', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '交通便利，环境优雅，室内装饰设计风格独特，服务态度很，关键是有停车位，出行方便，周围游玩攻略方便快捷', 'star': 5}
{'descr': '有早餐，交通方便', 'star': 4}
{'descr': '很好的服务', 'star': 5}
{'descr': '挺好的，挺舒服，设施齐全，服务周到，周边设施比较完善', 'star': 5}
{'descr': '连电吹风都没有，找前台借居然说借完了，设施也太齐全了吧？后面找店长投诉才解决；房间超级小，卫生间更不提了，有一块砖都掉了！就这还245？差评，差评！', 'star': 2}
{'descr': '环境不好，非常旧，而且水压也很小，又没有电梯', 'star': 1}
{'descr': '房间旧，水压很小，又没有电梯', 'star': 1}
{'descr': '第一次在这里住觉得很好，后来出差就一直在这里住了', 'star': 3}
{'descr': '住宿条件可以接受，性价比很高', 'star': 3}
{'descr': '每次过那边去学习都会在这里住，实惠，性价比高，推荐有需要的朋友入住。', 'star': 3}
{'descr': '设施比较旧，房间比较小，不过位置和服务都不错！有餐厅的，就是早餐时间太早了！郁闷！', 'star': 4}
{'descr': '价格很实惠，地段比较尴尬。。在两个轻轨站之间，环境挺好的，浴室也很干净，住了3天感觉很舒适～', 'star': 3}
{'descr': '服务态度挺好，不过早餐不太好。', 'star': 3}
{'descr': '还可以，卫生不错，服务好', 'star': 3}
{'descr': '还行，挺好的！', 'star': 3}
{'descr': '这个房间确实太小了，所以没有拍照片，之前的照片已经能反映全貌，找不出什么新的可拍点。只能说麻雀虽小，五脏俱全，还比较干净，空调的效果也不错，可能是房间小的原因，空气不太好，打开窗户临街又太吵。\n最大的优点是交通方便，对面是公交车站，往前走一百米左右是轻轨三号线。住这个地方是因为之前查询离工商大学比较近，但是实际走起来很远，建议出于相同目的的一定要乘车去工商大学。\n最郁闷的是明明写的是含早，服务员没', 'star': 5}
{'descr': '环境挺好，交通非常方便，门口就是车站，服务挺好！', 'star': 5}
{'descr': '价格实惠，交通便捷。就是电视节目少，没有电梯需要爬楼梯，不过5楼也还算可以啦。', 'star': 5}
{'descr': '总的来说将就。优点①交通比较方便，酒店门口就有一个比较大的公交站，几乎重庆市区都有到得。②卫生间还是比较干净③早餐的泡菜不错。。。。。。缺点①阳光电脑房很小，建议入住标间。②外面公交站很吵。③退房的时候，明明是我自己带的洗脸帕被认为是他们自己的，还要求我赔偿，让我很生气，以后要带也不要带白色的了，怕引起误会。。。', 'star': 5}
{'descr': '交通便利、干净卫生，就是不知道早餐是什么，就是房间有点小啊！', 'star': 5}
{'descr': '周围不是很繁华，买东西不太方便，楼层太高，没有电梯', 'star': 5}
{'descr': '房间小，有异味！只有厕所看起来还算干净！凑合住吧！', 'star': 3}
{'descr': '服务挺不错的 价钱还行，知足了。\n整体还行，我住的阳光大床，感觉有点拥挤，卫生间里面没有浴缸。\n细节不够，提供了网线没有电脑，当时自己没有带电脑，有点失望。\n总的来说还行!', 'star': 5}
{'descr': '房间太小.空气不好.部分物品还要另外购置..感觉还不如住商务酒店..其他的也没啥..可能是因为地段.所以收的贵吧', 'star': 1}
