{'短评内容': '离海很近。。。吹海风很舒服。。。么么哒！！', '短评打分': 5}
{'短评内容': '有停车场，早餐外面买偏贵', '短评打分': 5}
{'短评内容': '有停车场，早餐要到外面买价格偏贵', '短评打分': 4}
{'短评内容': '靠海很近，在房间能听到海浪声。', '短评打分': 5}
{'短评内容': '环境很好，老板也很好人，我们三个女的订了个双人房，枕头跟被子都差一个，本来房间就没加收价，我们本想着问老板可否给我们添多一个枕头跟被子会被拒绝的，没想到他说可以，真的太好了，房间干净，还有个露台让我们看到海，好满意', '短评打分': 5}
{'短评内容': '美景很美 ', '短评打分': 5}
{'短评内容': '位置极佳，房间设施能再维护好一些就更好了', '短评打分': 5}
{'短评内容': '一个字，好', '短评打分': 5}
{'短评内容': '没有看到有海景房，不然就定海景房了，有点可惜', '短评打分': 4}
{'短评内容': '真的很一般，厕所有异味，连外面都闻到。无下次！', '短评打分': 3}
{'短评内容': '很一般，房间较小，没有停车的地方', '短评打分': 3}
{'短评内容': '真正的海景房，在房间里就可以透过窗户看到美美的大海了', '短评打分': 4}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '1.看到了日出！！  2.位置方便，出门可以租自行车、吃饭。  3.老板还不错。  4.屋外设施很赞，面朝大海的摇摇椅，可以凹造型的石子滩。    but，房间灯不够亮。。。。  亲子房，不需要营造气氛。。。。。  ', '短评打分': 5}
{'短评内容': '感觉不错，很靠近海边，比较舒服', '短评打分': 5}
