{'短评内容': '住的还挺舒服的', '短评打分': 4}
{'短评内容': '酒店还不错', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '单人房，价格118，1.3的床有窗，1.5的没窗，里面没看到有拖鞋。隔音效果特别差。但随便睡一晚也就那样了', '短评打分': 3}
{'短评内容': '房间面积较小，与预订显示面积不符，怎么看也沒有二十平米，环境一般设备老旧，不过价格适中，可以接受', '短评打分': 3}
{'短评内容': '订了房间居然说没有，大早上赶时间还要我们订单处理，一点都不好', '短评打分': 1}
{'短评内容': '环境不错，交通方便', '短评打分': 5}
{'短评内容': '环境不错，位置也很好，方便', '短评打分': 5}
{'短评内容': '设备差', '短评打分': 1}
{'短评内容': '一般般啦，就这个位置的价位，应该说性价比也马马虎虎！', '短评打分': 3}
{'短评内容': '一般般吧！', '短评打分': 3}
{'短评内容': '好好好，好好好。干净，干净！', '短评打分': 3}
{'短评内容': '好好好，好好好，干净，干净。', '短评打分': 3}
{'短评内容': '好好好，好好好，干净，干净', '短评打分': 3}
{'短评内容': '好好好好好好，好好好好', '短评打分': 3}
