{'短评内容': '是个很老的三星，设施不太信，但是服务还可以，早餐品种不多，周边吃饭方便，前台可以买到印象武隆的票，非常推荐去看看，很震撼。', '短评打分': 5}
{'短评内容': '节假收费太高', '短评打分': 3}
{'短评内容': '出团游', '短评打分': 3}
{'短评内容': '服务还可以，离游客中心也不远。', '短评打分': 4}
{'短评内容': '不错的酒店，很好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '酒店很偏僻，离景区挺远，服务态度也一般，早餐更一般。', '短评打分': 3}
{'短评内容': '说实话真没什么优点', '短评打分': 4}
{'短评内容': '安静，环境还可以。要有车才行', '短评打分': 3}
{'短评内容': '位置即仙女山镇游客中心旁200-300米，酒店周边环境安静，停车场大，由于是国庆假日，感觉略贵，在可接受范围，时间安排得比较紧，入时时间已快晚上9点，第二天由于要去天坑玩，8点就退房了，未能好好享受舒适的旅游时间。', '短评打分': 5}
{'短评内容': '住宿条件还行，早餐一般般，品种多点就好了', '短评打分': 5}
{'短评内容': '设施差，价格贵，早餐品种少，电水壶锈迹斑斑，没有性价比。外围环境还是蛮好。', '短评打分': 1}
