{'短评内容': '环境还不错  离地铁站近', '短评打分': 5}
{'短评内容': '总体上还过得去', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境太差了', '短评打分': 3}
{'短评内容': '烟味很重～', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '有点失望，设施不够连锁酒店的标准，工业厂房改造的。', '短评打分': 4}
{'短评内容': '应急。不推荐', '短评打分': 2}
{'短评内容': '房间有异味，被子有漂白水的味道', '短评打分': 1}
{'短评内容': '酒店有点老，不过还可以住，环境还可以！', '短评打分': 4}
{'短评内容': '服务差到要死，该好好管理了', '短评打分': 1}
{'短评内容': '服务太差， 亲们一定不要住8533那个房间，太恶心了', '短评打分': 2}
{'短评内容': 'Shenzhen has become an expensive city but this hotel is acceptable considering rate quality/price.', '短评打分': 3}
{'短评内容': '房间不大，但是挺干净的，综合还是挺好的。', '短评打分': 4}
{'短评内容': '除了没有窗户房间透风有点问题外，其他都不错。无线网速度一般，但房间自带网线，速度不错', '短评打分': 4}
{'短评内容': '位置比较方便，设施尚可，相对于价格而言，没有什么问题。', '短评打分': 5}
{'短评内容': '是一般的那种普通住宅改装修的，装修设备都还算满意。就是比较偏僻难找入口。我是超时退房的，亏了40，郁闷死了。gps找深南汽车配', '短评打分': 3}
{'短评内容': '价格便宜，设施还可以，比较干净！       \n性价比比较高，周围也有大的超市，吃饭也很方便。', '短评打分': 5}
{'短评内容': ' 没有∵香梅连锁〞的标志，找了好久，只看到：林园酒店，楼下环境很乱', '短评打分': 3}
{'短评内容': '房间很干净，装修挺有档次的！也很大，洗手间也很大。交通挺方便的。会再去的。', '短评打分': 5}
{'短评内容': '酒店名称没換，前台服务差，说无订房老半天才开得房间，房间尚算新，但不会回头住。', '短评打分': 1}
{'短评内容': '酒店放个淘汰的电脑就当成数码房,价钱直接加50,房价的1/3,非常不厚道', '短评打分': 1}
{'短评内容': '刚装修的酒店，很干净。因为住的无窗房比较安静。总的来说性价比不错。', '短评打分': 3}
{'短评内容': '卫生都很不错,虽然酒店看起来没什么档次,不过住下后发现确实不错,价格也不高', '短评打分': 5}
{'短评内容': ' 环境不错  服务态度好 下次还会继续入住   ', '短评打分': 5}
{'短评内容': '挺干净，就是没电梯', '短评打分': 3}
