{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '还好吧', '短评打分': 5}
{'短评内容': '真的很烂的酒店 我订的168的房价 感觉和30的房间一样 房间门口就是个公厕 房间里面有点脏 味道很大 真的很不好', '短评打分': 1}
{'短评内容': '酒店总体感觉还不错，只是离我办事的地方远了点。', '短评打分': 5}
{'短评内容': '房间大，卫生间沐浴头漏水，空调一般，经理服务态度很好。', '短评打分': 1}
{'短评内容': '房间在一个装饰城的5-6层，6楼的房间感觉像是建在屋顶花园里一样，房间很大，没有一次性拖鞋，下水道比较堵，洗个澡卫生间里全是水，房间不是很隔音，整体感觉不好，没有安全感。', '短评打分': 1}
{'短评内容': '内容跟网上有差别', '短评打分': 3}
{'短评内容': '入住后感到房间印象不错', '短评打分': 3}
{'短评内容': '酒店不错,房间超大,总的来说性价比较高.', '短评打分': 3}
{'短评内容': '这家宾馆不错，交通很方便，离商业街也近。卫生不错，服务态度也不错，就是早餐的花样少了点儿\n很是坑爹的酒店，房间味道很大', '短评打分': 1}
{'短评内容': '房间好大，唯一不好的就是我们住的那个是挨着会议室的，窗户打开就是会议室，虽然他们没用会议室，可是不通风啊，一开门进去，我还以为是镜子，结果。。。\n房门不是很隔音，有人在外面走说话听得比较清楚。\n其他都还好。', '短评打分': 5}
{'短评内容': '房间 空气不好  卫生间 地沟 味 很重！', '短评打分': 1}
{'短评内容': '酒店环境有差距,房间还算干净。', '短评打分': 3}
{'短评内容': '比较干净，也比较清静，就是交通不太方便，打车很难，特别是晚上。', '短评打分': 5}
{'短评内容': '很一般的商务酒店，电视小，没有配套设施。', '短评打分': 3}
{'短评内容': '房间比较大，没有提供一次性拖鞋，不太卫生和方便，卫生间地沟味较重，希望改善，房间景观视野很好。', '短评打分': 1}
{'短评内容': '房间非常大，床也非常大，很舒服，一直喜欢住这里。', '短评打分': 5}
{'短评内容': '很不错的酒店，房间很大，设施很好。价位很合适。', '短评打分': 5}
{'短评内容': '酒店位置很不错，顶楼风景不做，但很简单，什么都简单，早餐，住的条件都是简化版', '短评打分': 5}
{'短评内容': ' 一般般，离市中心比较远，购物和逛街不怎么方便，', '短评打分': 5}
{'短评内容': '相当不错的酒店    数码房很宽   很不错  尤其是服务   特别是那个晚上值班的大叔  帮我买烟   我忘了带打火机  结果跑下去的时候  大叔把他的打火机送给我   特别感动哦     虽然只是个打火机   很不错的酒店 强烈推荐', '短评打分': 5}
{'短评内容': '非常不错，强烈推荐', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '  性价比不错 房间很大 隔音效果差点 六楼小花园晚上小坐挺棒', '短评打分': 5}
{'短评内容': '酒店晚上不开中央空调！睡觉有些冷！吹风机不好使了也不及时更换！有点无奈！', '短评打分': 3}
{'短评内容': '环境不错，房间舒适，周围餐馆多，就餐方便，交通也方便。', '短评打分': 5}
{'短评内容': '干净卫生，房间也很大，服务不错。空调效果稍微差了些，希望注意保养和维修。', '短评打分': 5}
{'短评内容': '我会推荐这家酒店，但是不是在冬季。如果能在夏天来住这样的房间是很不错的选择。', '短评打分': 5}
{'短评内容': '房间很大,床很大,卫生间也不错,性价比很高,不错,值得推荐', '短评打分': 5}
{'短评内容': '酒店地处市中心，交通便利，环境优美；酒店前台及房间都很开阔，服务也很不错；而且步行5分钟就是眉山所谓的‘外滩’；吃饭呀观光呀很方便。', '短评打分': 5}
{'短评内容': '不错的地理位置，价格也实惠，很不错，就是停车场较小，早餐品种有待提高', '短评打分': 5}
{'短评内容': '已住进宾馆', '短评打分': 3}
{'短评内容': '位置还可以，环境上看的过去，设施一般，但服务确实不杂的！\n不过价格还算公道~', '短评打分': 1}
{'短评内容': '房间除了大，其他什么都不行，服务跟不上，反映空调有问题 歇了好久才来，房间里连个消费指南都没有啊 差劲', '短评打分': 1}
{'短评内容': '总体感觉不错，但房间不太隔音。离河边近，环境较好', '短评打分': 5}
{'短评内容': '在眉山的价格也不便宜，设施还行，很安静。交通也还方便，出门就是能打到车。', '短评打分': 5}
{'短评内容': '房间很大，还可以！早餐有待提高，不过这样的价位已经很不错了！', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '只觉得房间大，设施简陋，不喜欢这样的房间。', '短评打分': 3}
{'短评内容': '  酒店一般', '短评打分': 5}
{'短评内容': '这家店完全出乎我想象，房间大，卫生好，价格便宜，就房间风格和设施来说可以达到准4星标准，就是早餐差了点，应该是值得推荐入住的，远比成都有的所谓4星来的强。', '短评打分': 5}
{'短评内容': '酒店还好,就是可能是因为在河边的原因,屋里有点潮.', '短评打分': 3}
{'短评内容': '酒店总体感觉不好 环境差 ', '短评打分': 5}
{'短评内容': '  很好！很干净！睡觉也很安静，环境也比较舒服！', '短评打分': 5}
{'短评内容': '房间很大，位置很好！出行方便！早点不是很丰盛！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '我定的是标准间（2人入住），但酒店给我留了一个单间。最后酒店给我调整到了普通标准间，总的来说性价比还是很高。另外，消费卷是否能有效使用？', '短评打分': 5}
{'短评内容': '在这个价格，这个城市，除了酒店临街有点吵这个问题，其他都很不错，性价比高！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '真是不错的一家酒店，还傍着东坡湖，离客运中心也很近，设施ok，房间也不错，十分好。', '短评打分': 5}
{'短评内容': '该酒店设施和卫生还不错，毗邻的东坡湖很美，只是水质差了一些。', '短评打分': 5}
{'短评内容': '酒店设施跟准四星差不多哈，但位置因为靠近马路，所以有点吵。房间很大，很干净。网速慢了点，而且老是掉线。', '短评打分': 5}
{'短评内容': '房间很宽敞 入住很晚，但退房时间也不能延迟，较为不便', '短评打分': 5}
{'短评内容': '房间隔音效果不好，很吵，卫生很干净，服务也不错，价格实惠。', '短评打分': 5}
{'短评内容': '服务挺不错的，价格和位置都是比较理想挺符合我的要求的，房间也不错环境也挺好的，性价比还是挺高的。', '短评打分': 5}
{'短评内容': '周围风景很好，住的过程中出了点小事故，当值经理态度非常好，下次去眉山还住那里。', '短评打分': 5}
{'短评内容': '酒店地理位置好，空间大，干净舒适。', '短评打分': 5}
{'短评内容': '酒店的性价比还是比较合适的，眉山的酒店选择比较少这个价位的也就这一家，卫生服务算是比较达标的，整体来讲算是比较合格的酒店可以考虑入住。', '短评打分': 5}
{'短评内容': '房间宽敞明亮，干净舒适，地理位置好，可以免费上网', '短评打分': 5}
{'短评内容': '房间的设施和卫生挺不错的，位置还是可以附近的交通也是挺方便的，但是离市区不是太近象购物挺不方便的，但是酒店的附近吃饭还是挺好的，旁边也有一个美食街所以这点还是挺不错的，另外我住的房间蛮大的而且里面也能看到湖，性价比方面真的挺不错的，下次还会去选择这家酒店。', '短评打分': 5}
{'短评内容': '非常好，', '短评打分': 5}
