{'短评内容': '服务非常好，老板热情', '短评打分': 4}
{'短评内容': '吃饭不是很方便，周边饭店的选择性很窄，离海边远', '短评打分': 4}
{'短评内容': '环境干净，服务到位', '短评打分': 5}
{'短评内容': '海阳的海真让人失望，很臭的，黑色有污泥，真是那么老远过去，太不值得了，这家服务很好，但实在太偏僻了，周围没有配套的设施！', '短评打分': 4}
{'短评内容': '我们一行11人来到海阳市，老板特别好，我们都是自己做饭，跟家的感觉一样，并且还有小院停车，特别适合自驾游', '短评打分': 5}
{'短评内容': '老板娘服务态度挺好，只要有时间，车接车送，还有两次外出游玩，老板娘也包送。', '短评打分': 5}
{'短评内容': '第二次来这边了。老板夫妇很好，可以自助做饭，有早餐。', '短评打分': 5}
{'短评内容': '第二次来这边了。老板夫妇很好，可以自助做饭，有早餐。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '不错，好，适合自驾游，城市安静', '短评打分': 5}
{'短评内容': '不错，适合自驾游，老板很好，城市幽静', '短评打分': 5}
{'短评内容': '特别宁静，很安逸的地方，院子不错，适合自驾游，到海边需要开车10分钟，老板也不错', '短评打分': 5}
{'短评内容': '院子可以停车~挺好的', '短评打分': 5}
