{'短评内容': '勉强凑合住一下。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '在这地段这价位还可以', '短评打分': 3}
{'短评内容': '房间干净，服务态度也比较到位，晚上睡觉很安静', '短评打分': 5}
{'短评内容': '空调是坏的，没有风筒，空气不好，抽风机也是有问题的，声音很大，只能说很旧的宾馆，连灯泡都有问题，以后绝对不会再选这间！', '短评打分': 1}
{'短评内容': '环境很差，被子里全是好强烈的消毒药水咪，空气好局。问前台拿个风筒都没有。或许这个价钱是这样的吧。下次不会去了', '短评打分': 1}
{'短评内容': '在同一地段这个价格算比较便宜了。至于配套就一般一般了。', '短评打分': 5}
{'短评内容': '冬天没有空调，北方的朋友可能不太适应。另外，设施太旧了。价格还可以，周边环境不错，交通方便。', '短评打分': 1}
{'短评内容': '东山口地铁附近，交通方便。金城宾馆院内，治安很好。但是比较陈旧，窗户及洗浴设施有损坏。屋内有异味。', '短评打分': 5}
{'短评内容': '价格合理，房间较大，但有点旧,且床很硬,没其它的舒服，不过钦茶吃饭方便，平价.', '短评打分': 5}
{'短评内容': '还不错，有闹中取静的感觉。', '短评打分': 3}
{'短评内容': '房子很一般啦', '短评打分': 3}
{'短评内容': '环境差了', '短评打分': 3}
{'短评内容': '这个地段这个价格还行吧,房间还算卫生,不过比较陈旧了,优点是交通比较方便,也还算比较安静,缺点是不能打电话和没有早餐.', '短评打分': 5}
{'短评内容': '这家店子比较安静，离主马路比较近，逛街，吃饭都方便，就是洗澡的热水不蛮好，别的都可以', '短评打分': 5}
{'短评内容': '设施还是有点陈旧啦 不会还是不错的 这个价位嘛...', '短评打分': 5}
{'短评内容': '很经济 舒适  酒店工作人员服务态度良好 环境还不错', '短评打分': 5}
{'短评内容': '房间很干净，就是酒店外围有很大的臭味！', '短评打分': 3}
{'短评内容': '房间还可以,比较难找', '短评打分': 3}
{'短评内容': '不错呀，在这片区算对得起这个价啦！！可惜房外环境不敢恭维！', '短评打分': 3}
{'短评内容': '价格实惠，网络不行。', '短评打分': 3}
{'短评内容': '网络比较次，总断线。', '短评打分': 3}
{'短评内容': '比较破旧，管理跟不上，隔音不好，洗澡的水太小，设备非常陈旧，周围环境一般，不过此路段最便宜的酒店非他莫属。', '短评打分': 5}
{'短评内容': '.OK!', '短评打分': 3}
{'短评内容': '房间还行，比连锁大一点', '短评打分': 3}
{'短评内容': '酒店的环境较差，灯光昏暗，到处一片破旧，位置也比较隐蔽。本来上网看过它的图片介绍，看起来好像还可以，登记完了，一走进电梯就开始有点后悔了，旧旧的，走进房间就更失望了，有味道，洗手间也是像用了好多年似的，窗户上的贴纸有些破洞已经有几处打了补丁，而且窗户是那种很普通的铝合金窗，似乎不太安全。本想退了不住，后来想了想已经交钱了，免得争吵，而且又得临时找地方住，加之这里离东山口地铁站很近就在我上课的地方旁', '短评打分': 1}
{'短评内容': '这家酒店是我住的最最破的一家酒店，又脏，又老，反正我现在想起来这家酒店就觉得很恶心，', '短评打分': 1}
{'短评内容': '酒店位置 是不错的，但是实在是太陈旧了。感觉不是很好，下次不会入住', '短评打分': 1}
{'短评内容': '交通很方便，酒店干净。', '短评打分': 3}
{'短评内容': '坏境一般  办理入住较慢\n坏境一般  办理入住较慢\n坏境一般  办理入住较慢\n坏境一般  办理入住较慢', '短评打分': 1}
{'短评内容': '还不错，交通方便，环境安静，价格优惠、下次去还会住', '短评打分': 5}
{'短评内容': '位置比较便利。环境只能凑合。价位决定了。。。', '短评打分': 5}
{'短评内容': '首先声明一下，这个酒店坚决不推荐，也坚决不再去！\n之所以订了这个酒店，是看到网上的评论，等自己去住的时候才知道，不仅仅是不好找，而且网络又不好用，房间太旧，被子是我住了那么多酒店以来最差的。卫生条件也不怎么样。吃饭只有酒店下面的饭店，附近没其他的饭店，不大方便。', '短评打分': 1}
{'短评内容': '基本设施还可以。', '短评打分': 3}
{'短评内容': '一家性价比很好的酒店···服务态度也很好', '短评打分': 5}
{'短评内容': '其實內部環境及地理位置都一流，但肯能系有歷史的酒店了，所以有d舊，希望可以改進', '短评打分': 5}
{'短评内容': '挺不错喔。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '还行，只是毛巾被面陈旧，卫生条件差一点，不过也还能接受', '短评打分': 5}
{'短评内容': '位置好、价格合理、硬件好、态度一般，不过下次去可能还会住', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '本来之前住得好好的这次才又订了入住，结果因为网络插座的问题多次申请，酒店也不帮忙彻底解决问题，而且在场工作人员包括服务生和保安全部竟然都似乎比住客更有道理，试图围攻说服住客。。。。客人还敢下次入住吗？', '短评打分': 1}
{'短评内容': '除了內部的設施陳舊之外，其餘的服務都到位，而且方便是最主要。', '短评打分': 3}
{'短评内容': '在广州这个价格还是可以的。长途电话要收费', '短评打分': 5}
