{'短评内容': '近近景近景近近景近景将就将就近近景近景', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '挺干净', '短评打分': 5}
{'短评内容': '价格还不同，平台价高于酒店实际价格，', '短评打分': 1}
{'短评内容': '房间可以，性价比高', '短评打分': 5}
{'短评内容': '来这边每次都住这儿，蛮好。实惠安静', '短评打分': 5}
{'短评内容': '经常住如家了，还算干净，就是房间稍微有点小，床偏软', '短评打分': 5}
{'短评内容': '酒店位置略难找，不过，住宿环境什么还可以，前面是个购物城，后边是个小区，远离马路，相对较安静，不过，房间有直饮水，比较贴心～但是，隔音效果差。。。。', '短评打分': 5}
{'短评内容': '一如既往的住如家，不错的服务不错的环境', '短评打分': 5}
{'短评内容': '位置比较方便。房内细节卫生可以再好点，比如遥控器，墙角等', '短评打分': 4}
{'短评内容': '整体感觉还好', '短评打分': 3}
{'短评内容': '这房间非常好 就是有点偏僻', '短评打分': 5}
{'短评内容': '位置很好，离丝绸市场很近，卫生也不错，第二次选择住在这里', '短评打分': 5}
{'短评内容': '还可以，性价比高！', '短评打分': 4}
{'短评内容': '房间还算干净，这样的价格对于星期六晚上来说还比较实惠，只是酒店在一个巷子里，有点难找。', '短评打分': 5}
{'短评内容': '好的好的，', '短评打分': 5}
{'短评内容': '房间大，安静，卫生', '短评打分': 4}
{'短评内容': '方便快捷，言如其实。', '短评打分': 5}
{'短评内容': '在闹市区，交通方便，就是没地方停车！', '短评打分': 5}
{'短评内容': '干净，舒适，服务态度好，住着非常舒心。', '短评打分': 5}
{'短评内容': '干净，温馨，舒适，服务态度好&hellip;&hellip;', '短评打分': 5}
{'短评内容': '在一个小胡同里面，不太好找。房间不到，交通还可以。', '短评打分': 5}
{'短评内容': '离西湖很近，但是条件一般，反正还是大力推荐！', '短评打分': 5}
{'短评内容': '卫生、干净、微笑服务，虽不是家，胜似家。交通也方便！附近有早点，很实惠！', '短评打分': 5}
{'短评内容': '房间很干净挺温謦的，周围吃饭出行也很方便，就是房间稍有点小，总体性价比高，推荐', '短评打分': 5}
{'短评内容': '酒店位置离西湖还是比较近，就是第一次去不是太好找，还有就是房间有点小，能再大些就好了', '短评打分': 5}
{'短评内容': '房间布置的确有家的感觉，但是服务员态度不是很好，更重要的是没有诚信，在网上定好的2日房，到了店里，第2日的要加价，太不诚信了。', '短评打分': 1}
{'短评内容': '酒店很赶紧，交通也算不错，闹中取静，值得推荐', '短评打分': 5}
{'短评内容': '非常好，下次出差还会去，服务员态度很好，附件还有些吃的\n', '短评打分': 5}
{'短评内容': '酒店还不错，闹中取静，可能找起来会麻烦一点', '短评打分': 5}
{'短评内容': '环境可以，热水不够热，洗脸的毛巾用得太多次吧，很薄了都。由于外面是批发市场，早晨一大早就很吵了。', '短评打分': 3}
{'短评内容': '在市中心位置,交通方便,房间干净,朝南房间安静,如果朝北刚好是一个服装批发市场,应该会比较热闹,每人增加15元不知道是什么费用.', '短评打分': 5}
{'短评内容': '酒店位置很安静，离公交车站很近，附近有逛街地方，离西湖1.5公里。', '短评打分': 3}
{'短评内容': '最开始觉得位置比较偏 后来发现在凤起路中国丝绸城对面环北小市场中间穿过去很快就到了', '短评打分': 5}
{'短评内容': '房间虽小，但卫生，环境还是比较清静的。下次可能再来。', '短评打分': 5}
{'短评内容': '环境还蛮好，服务也蛮好。就是吃饭的地方不好找。再有就是我周五入住一个价格，如果续住又换了一个价格，问起原因，竟然说周末的房子要贵些……', '短评打分': 5}
{'短评内容': '房间比较小，不过大床房都是朝阳的，屋内不会很潮；\n隔音不好，有几个人在房间喝酒，说话的声音整个楼道都能听到，让人不舒服；\n酒店位置不太好找，离公交车站大概10分钟的距离；\n如果要求不很高的朋友，还是可以选择入住的，价格相对低一些嘛！', '短评打分': 5}
{'短评内容': '方便、   干净、   在市中心，   公司也比较近', '短评打分': 5}
{'短评内容': '房间很干净挺温謦的，周围吃饭出行也很方便，就是房间稍有点小，总体性价比高，推荐。', '短评打分': 3}
{'短评内容': '酒店不错位置很很好，而且卫生也很干净！可以再次推荐！', '短评打分': 5}
{'短评内容': '我们那个房间外面有噪音，跟工作人员提过这样会影响睡眠，想要换个房间，表面答应着，最后不了了之，不能说很不好，总之不太让人满意', '短评打分': 1}
{'短评内容': '房间很干净整洁,态度不错,挺满意的', '短评打分': 3}
{'短评内容': '感觉有点旧，不过还算干净，没有翠苑店舒服', '短评打分': 3}
{'短评内容': '酒店很干净服务太度不错就是打车和吃饭不方便。', '短评打分': 3}
{'短评内容': '比较干净，但比较吵，服务态度很好，早餐一般，推荐凤起路有家早餐店，那店里的东西很好吃和实惠。', '短评打分': 5}
{'短评内容': '特不满意，出行不便，清早吵闹', '短评打分': 3}
{'短评内容': '对面是个批发市场，到了晚上很安静！我喜欢！下次出差再来！', '短评打分': 5}
{'短评内容': '干净卫生，早上吵，晚上安静', '短评打分': 3}
{'短评内容': '卫生干净，餐饮一般', '短评打分': 3}
{'短评内容': '如家质量还还错', '短评打分': 3}
{'短评内容': '房间干净、面积15-18平米左右。服务态度也不错，就是地方不太好找。适合来杭旅游及商务出差人士。', '短评打分': 5}
{'短评内容': '房间相对较小，但是干净整洁，虽然酒店在小巷子里，但是很有生活气息。酒店工作人员服务也比较好，帮忙解决了好些问题，再次表示感谢。', '短评打分': 5}
{'短评内容': '不错。晚上还有人给你松矿泉水喔', '短评打分': 3}
{'短评内容': '很不错很好。房间干净整洁……位置也不错交通方便……', '短评打分': 5}
