{'短评内容': '位置还行，出门挺方便的。环境一般。', '短评打分': 5}
{'短评内容': '距离海边步行要15分钟，非常便捷。旅店的服务不错。', '短评打分': 5}
{'短评内容': '一般，一般，一般，一般，一般，一般', '短评打分': 5}
{'短评内容': '还可以吧，就这个价也不能要求太多', '短评打分': 3}
{'短评内容': '环境好，老板人不错，态度很好', '短评打分': 3}
{'短评内容': '以后应该不会去了', '短评打分': 1}
{'短评内容': '老板特别差.服务态度还臭。没想到出去玩能碰上这样的住处，差到极点！！！ 位置还特差，打车多加十块都没人去', '短评打分': 1}
{'短评内容': '十极差', '短评打分': 3}
{'短评内容': '唉，失望啊。就是小旅店。。。没任何好推荐的，房间的水压低的很，冲个厕所要好久，设备老化。。。等等', '短评打分': 1}
{'短评内容': '住一晚上还可以呀。。。\n\n我定了190的 因为没有了换了标准间  觉得还可以啊  ', '短评打分': 5}
{'短评内容': '实在是不敢恭维！太差了！上当就这一次啊', '短评打分': 3}
{'短评内容': '居住环境一般，服务态度不错。', '短评打分': 3}
{'短评内容': '除了位置较好外，一无是处，房小，电视信号有问题，窗户外是一堵墙，床极不舒服。', '短评打分': 1}
{'短评内容': '地处青岛旧城区、海洋大学四门的对面，附近有公交可直达多个风景区。我住的大床房，处于1楼，很潮湿，没有电热杯，要到服务台取开水壶，卫生间比较差。适合早出晚归的旅游者。', '短评打分': 5}
{'短评内容': '就是普通的小旅馆，房间很小，两个房间中有一个电视还没有机顶盒，如果仅仅是准备睡一夜的话，还是可以考虑的，因为两个房间加起来都比7天酒店的无窗大床房还便宜。', '短评打分': 5}
{'短评内容': '靠近海边，临着海大，比较安静，服务态度也不错', '短评打分': 5}
{'短评内容': '酒店全是隔板房！营业执照上写的16间房，可是我看有30几间房，全是隔出来的。', '短评打分': 1}
{'短评内容': '酒店的条件很简陋, 对不起这个价格。要求交保证金，不推荐入住。', '短评打分': 1}
{'短评内容': '私人改建的，没有开水，有窗室内仍不能达标，不推荐。', '短评打分': 1}
