{'descr': '还可以的了', 'star': 5}
{'descr': '无线网用不了就算了 在房间里连自己的流量都用不了 我和朋友夜里在外面楼梯口上的网 很不好', 'star': 3}
{'descr': '还不错    看着还可以  ', 'star': 4}
{'descr': '屋里有异味', 'star': 3}
{'descr': '其他都可以，还算满意，遗憾的是网络不行，连上没多久有掉线了，希望店家跟进一下', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '酒店的位置还可以，去市中心步行有10来分钟的距离，酒店的设施一般，卫生还可以，不过老板的服务很好，很热情，值得推荐。', 'star': 4}
{'descr': '还好，热水要等很长时间，卫生间灯也坏了，但是价格便宜', 'star': 4}
{'descr': '不错的。。。。。。。。。。。。。', 'star': 3}
{'descr': '还好还好还好还好还好还好', 'star': 3}
{'descr': '房间设施旧，无沙窗，空调吵声大，晚上关窗太闷。房间对面是小区还算安静，卫生有待提高。', 'star': 3}
{'descr': '提前两天给商家打的电话确认，多亏确认了，商家说没接到携程的订单，所以只能当时电话再定了一下，网上报价是69一天，实际每天又额外加20。没办法了，哎！', 'star': 4}
{'descr': '挺好的，实惠干净住的舒服', 'star': 5}
{'descr': '宾馆地处无锡市区较繁华地段，附近无论吃饭、买东西还是取钱都很方便。从这里去无锡各个景点，公交路线也十分便利。宾馆服务态度很好。只是宾馆的拖鞋不是一次性的，卫生也不是特别好。所以在这方面要求严格的人慎重考虑。还好我自己带了水杯，刷牙什么的就用的自己的杯子。服务态度很好。总体来说，在清明节期间住到100块一晚，性价比还是很高的。推荐。', 'star': 5}
{'descr': '离闹市区还算蛮近的，装修单调了一点，关键是便宜', 'star': 5}
{'descr': '挺干净的，就是空调不太好', 'star': 3}
{'descr': '酒店位置很不错，卫生还可以！安全一般。就是比较实惠一些！', 'star': 3}
{'descr': '地方有点小，装修比较简单', 'star': 3}
{'descr': '电视坏的 坏坏坏的  看不起来 哎.............................', 'star': 5}
{'descr': '就是家庭旅馆 简单得不能再简单 附近的海友客栈还好些', 'star': 1}
