{'短评内容': '名宿类型的私宅', '短评打分': 4}
{'短评内容': '名宿类型的私宅', '短评打分': 4}
{'短评内容': '老板都很热情   还可以帮手拼车   景区联票可不买就不买', '短评打分': 5}
{'短评内容': '老板很热情   房间热水比较小其他都很棒', '短评打分': 5}
{'短评内容': '老板人很好，酒店还可以', '短评打分': 5}
{'短评内容': '还行，基本与描述一致，性价比相符。  ', '短评打分': 4}
{'短评内容': '房间很不错，老板也超级好，因为是周日晚上来的，所以人相对少一些。老板爸爸直接给我调到另一个大一些的房间了，说这间今晚空的，就让我住了，因为我定的那间卫生间有些小。非常非常友善的一家人。', '短评打分': 5}
{'短评内容': '客栈环境整洁，服务很周到！', '短评打分': 3}
{'短评内容': '位置太偏了，是在很窄很窄的巷子里，非常难找，没有牌子，不过老板很热情人很好，房间也干净舒适宽敞，就是洗澡的时候洗到一半没有热水了。西塘的客栈几乎隔两三步就是一个，大家可以货比三家', '短评打分': 1}
{'短评内容': '设施简陋，卫生和服务尚可。', '短评打分': 3}
{'短评内容': '顾阿姨态度很好的很热情。。。。。。。。。。。还热心帮我们介绍西塘的各个景点。。。。。。。谢谢啦！房间也还算干净。跟网上图片一样的。挺好的。', '短评打分': 5}
