{'短评内容': '很不错，住的情侣主题房，只不过现在跟女友分手了，不过酒店的设施确实值得一赞，怎么说呢，你住了不会后悔，跟在外面的四星级酒店差不多。', '短评打分': 5}
{'短评内容': '有停车场，不能加床', '短评打分': 3}
{'短评内容': '还可以，不错', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '挺好的～', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '客房还行', '短评打分': 4}
{'短评内容': '第二次，住了！非常带劲！还有艺龙的返现很及时给力！点个赞', '短评打分': 3}
{'短评内容': '酒店不错，在邓州算非常不错了', '短评打分': 3}
{'短评内容': '挺安静，房间也比较干净有早餐挺好的', '短评打分': 3}
{'短评内容': '很不错，服务员很热情，感觉特别良好，值得推荐', '短评打分': 3}
{'短评内容': '干净舒适，交通特别方便，处在闹市地区', '短评打分': 3}
