{'短评内容': '环境挺不错的，比较安静，卫生干净', '短评打分': 5}
{'短评内容': '吃饭比较方便，楼下就是餐厅', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '刚从澳门回来 觉得这酒店实在是太好了', '短评打分': 5}
{'短评内容': '房间很小，很旧，不干净！花245元简直是欺诈！好失望！', '短评打分': 2}
{'短评内容': '总体还可以，就是设备有些旧。', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '酒店位置不错，就在香洲汽车站旁边，交通便利，周围配套齐全。但是卫生，设施比较落后，有待改进。', '短评打分': 3}
{'短评内容': '珠海航展期间能有房间已经很不容易了。平时不知道多少钱，现在这个价钱还是很便宜的。寒江布置的不错，是个快捷酒店的风格。', '短评打分': 5}
{'短评内容': '不太好，就是离车站近点', '短评打分': 3}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '特别差劲，不是一般的差，三个字：脏乱差', '短评打分': 1}
{'短评内容': '车站旅馆，400多的价格，简直是打抢', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '酒店蛮温馨的。   还不错。   交通很便利。  旁边就是公车总站。   ', '短评打分': 5}
{'短评内容': '房子有點小，看重的是坐車方便，希望價格能夠再低點，100以內覺得比較合理', '短评打分': 5}
{'短评内容': '临街有点小吵，而且房间环境卫生也不尽如人意。', '短评打分': 1}
{'短评内容': '一般吧，价格够便宜了，所以也就不能要求太高了', '短评打分': 5}
{'短评内容': '一般，价格偏贵。不过考研时候离考场还是比较近的', '短评打分': 1}
{'短评内容': '房间的卫生不太好设施还算齐全，就是酒店出行还是蛮方便，前台还是蛮不错的，价格还是比较合适。', '短评打分': 1}
{'短评内容': '交通方便，酒店，房间设施陈旧，还不能刷银行卡。', '短评打分': 5}
{'短评内容': '门面不大，但位置在市中心，干净，装修简洁，舒服', '短评打分': 5}
{'短评内容': '房间有味道，卫生条件不是太好！', '短评打分': 3}
{'短评内容': '+还不错', '短评打分': 5}
{'短评内容': ',环境一般，地段不错，附近比较旺，房间近马路，晚上有些吵。', '短评打分': 5}
{'短评内容': '不值220,旁边是车站，很吵。房间很小，不值不值。大家不要来。', '短评打分': 5}
