{'短评内容': '酒店环境很好，楼下一条街吃的，其中一家肉蟹煲很不错。', '短评打分': 5}
{'短评内容': '第十次住这里了，还是很喜欢❤️，最近还提供暖茶服务，真有心', '短评打分': 5}
{'短评内容': '这里的房间光线很好，宽敞，楼下吃东西最方便，基本不用走远，很不错', '短评打分': 5}
{'短评内容': '日常五星好评。', '短评打分': 5}
{'短评内容': '还不错，就是周边晚上有点吵！', '短评打分': 5}
{'短评内容': '房间安静整洁', '短评打分': 5}
{'短评内容': '房间安静整洁', '短评打分': 5}
{'短评内容': '非常棒，前台008很有礼貌', '短评打分': 5}
{'短评内容': '房间很不错  维也纳的服务也很好', '短评打分': 5}
{'短评内容': '房间很不错   酒店服务也很好  楼下繁华', '短评打分': 5}
{'短评内容': '环境好，我喜欢的大床房', '短评打分': 5}
{'短评内容': '很不错！环境很好', '短评打分': 5}
{'短评内容': '挺好的，挺干静的，环境好', '短评打分': 5}
{'短评内容': '酒店不错，有点小贵，不过订酒店会反京豆，非常划算，没有早餐，酒店地理位置不错，楼下面都是吃的，去哪都比较方便。', '短评打分': 5}
{'短评内容': '酒店不错，有点小贵，不过订酒店会反京豆，非常划算，没有早餐，酒店地理位置不错，楼下面都是吃的，去哪都比较方便。', '短评打分': 5}
{'短评内容': '酒店不错，有点小贵，不过订酒店会反京豆，非常划算，没有早餐，酒店地理位置不错，楼下面都是吃的，去哪都比较方便。', '短评打分': 5}
{'短评内容': '酒店不错，有点小贵，不过订酒店会反京豆，非常划算，没有早餐，酒店地理位置不错，楼下面都是吃的，去哪都比较方便。', '短评打分': 5}
{'短评内容': '很好好满意', '短评打分': 5}
{'短评内容': '漂亮的酒店', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '定错了，本以为是火车站附近的。打车也不太远。', '短评打分': 4}
{'短评内容': '总体不错，就是浴室的窗帘没有隐私', '短评打分': 5}
{'短评内容': '酒店干净卫生，周边配套完善，小吃店、百货店，KTV应有尽有，出行也很方便。', '短评打分': 5}
{'短评内容': '还行！', '短评打分': 5}
{'短评内容': '酒店周围吃饭和娱乐很方便，但周边环境一般', '短评打分': 4}
{'短评内容': '整体不错.', '短评打分': 5}
{'短评内容': '性价比非常高的酒店，而且入住不要求14:00以后，离店时间14:00，很人性化。二楼中餐厅饭菜也不错。就是楼下有个KTV有些炒', '短评打分': 1}
{'短评内容': '临时入住的，硬件不错。房间卫生整洁，沐浴露和洗发水比一般酒店好', '短评打分': 5}
