{'短评内容': '比较干淨', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '每次有朋友来都是在这里，环境还行吧', '短评打分': 5}
{'短评内容': '位置好，吃饭方便，周围设施齐全。', '短评打分': 5}
{'短评内容': '卫生好空间大', '短评打分': 5}
{'短评内容': '酒店很不错，非常安静，干净', '短评打分': 5}
{'短评内容': '最好以后可以接纳外宾入住', '短评打分': 5}
{'短评内容': '房间整洁干净，空间很大，就是空调噪音大，而且不太给力', '短评打分': 4}
{'短评内容': '干净整洁', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '很好！环境好，设施比较完善，地理位置优越，是我们出差旅行的首选。', '短评打分': 5}
{'短评内容': '周围没有其他连锁酒店，就定了汉庭，不知道是全部汉庭都这样还是就这一家如此，和小旅馆环境差不多。', '短评打分': 3}
{'短评内容': '房间和卫生情况还不错。', '短评打分': 4}
{'短评内容': '房间小 设备旧 且没啥设备。比同价位的莫泰确实差一截。倒是比较安静。', '短评打分': 4}
{'短评内容': '连锁酒店，相对来说还是可以的', '短评打分': 4}
{'短评内容': '难得住住 还可以', '短评打分': 5}
{'短评内容': '还行吧……', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
