{'短评内容': '位置很好', '短评打分': 5}
{'短评内容': '有待提高卫生', '短评打分': 3}
{'短评内容': '很一般吧 里面服务有待提高', '短评打分': 3}
{'短评内容': '酒店还可以就是早餐只有单份的最好改成双份早餐就好了', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '挺不错的，挺不错的。', '短评打分': 5}
{'短评内容': '不错的酒店 很安静 交通还算便利', '短评打分': 5}
{'短评内容': '质量不好，没空调，卫生间有异味', '短评打分': 1}
{'短评内容': '还行吧，就是比较陈旧', '短评打分': 5}
{'短评内容': '房子太小了，床也太小', '短评打分': 5}
{'短评内容': '还可以说得过去', '短评打分': 5}
{'短评内容': '好很好非常好', '短评打分': 4}
{'短评内容': '其他都还好，就是隔音不行', '短评打分': 5}
{'短评内容': '位置处在二环附近，去亦庄出差，所以订了这家东南方向离市中心较近的酒店，可步行前往餐饮、公园。 住在二楼豪华大床房，房价很宽敞，设施有个性，但大冬天的，暖气实在不给力，开到28&amp;#176;都觉得凉。 服务中规中矩。 早餐品种丰富，培根不错。 总得来说，性价比高，值得推荐', '短评打分': 4}
{'短评内容': '最大的优点是房间空气清新，没有任何异味，必定回访', '短评打分': 4}
{'短评内容': '位置不错，干净卫生。', '短评打分': 5}
{'短评内容': '还是选择来住', '短评打分': 4}
{'短评内容': '酒店特别好！', '短评打分': 5}
{'短评内容': '网速太慢，其他都很好', '短评打分': 5}
{'短评内容': '评晚了、非常棒的酒店 家庭房 很温馨 很舒服 前台人员服务热情！早餐不错 价格略贵！距离故宫 天坛公园 天安门广场都很近！推荐！', '短评打分': 5}
{'短评内容': '服务员态度很好。交通方便。', '短评打分': 5}
{'短评内容': '感觉非常好', '短评打分': 5}
{'短评内容': '帮朋友去订 方便', '短评打分': 5}
{'短评内容': '我住的是“泉谷特惠房-无早”，房间里有wifi，很方便。浴室是开放式的，适合情侣。但如果你不想看到别人洗澡就别住了。一切都挺新的，我往的房间听不到别的噪音。床很大，也很浪漫。我住的时候是398元，感觉也不贵呢！走到天坛东门地铁站就15分钟左右，打车应该是10块，很方便！推荐哦！\n\n前台还有ipad给顾客用，比较贴心～', '短评打分': 5}
{'短评内容': '酒店风格独特，值得入住。', '短评打分': 3}
{'短评内容': '酒店硬件条件好，周围实施齐全，交通方便。', '短评打分': 5}
{'短评内容': '住起来很舒服，因为是新开酒店还有一点装修的味道。不过装修很好看。值得再入住。', '短评打分': 5}
{'短评内容': '简约及温馨的装修风格我挺喜欢的。临走时送我一瓶冰镇的矿泉水，让我在这个炎热的夏天很是感动！！', '短评打分': 3}
{'短评内容': '朋友帮我订的，挺有个性的。我也比较喜欢青花瓷的房间，中国元素比较浓，很安静、心情比较放松、卫生也干净，希望长期保持', '短评打分': 5}
{'短评内容': '酒店设计风格别具一格，设备很齐全、装修很新颖、室内采光非常好，尤其是榻榻米的房间很温馨，卫生比较好。临走时还送给我一份精美的小礼品，整体感觉不错，值得推荐！', '短评打分': 5}
{'短评内容': '一家非常不错的精品酒店，每层楼的风格都不同，环境非常好，窗外绿树成荫， 酒店设计也非常前卫，我住的那间房电视是可以随意调节视角的，躺在浴缸里也可以看球赛，还有免费的无线，果粉们应该会非常喜欢，酒店的电话可以为所有的苹果系列充电，最出乎意外的是电话机还是一个音响，非常不错，真是物超所值。', '短评打分': 5}
